pick#player#team#position#hometown / school
1#harold baines#chicago white sox#of#st michaels , maryland
2#bill gullickson#montreal expos#rhp#orland park , il
3#paul molitor#milwaukee brewers#ss#university of minnesota
4#tim cole#atlanta braves#lhp#saugerties , ny
5#kevin richards#detroit tigers#rhp#wyandotte , mi
6#terry kennedy#st louis cardinals#c#florida state university
7#richard dotson#california angels#rhp#cincinnati , oh
8#brian greer#san diego padres#of#brea , ca
9#david hibner#texas rangers#ss#howell , mi
10#craig landis#san francisco giants#ss#napa , ca
11#bruce compton#cleveland indians#of#norman , ok
12#randy martz#chicago cubs#rhp#university of south carolina
13#andrew madden#boston red sox#rhp#new hartford , ny
14#ricky adams#houston astros#ss#montclair , ca
15#paul croft#minnesota twins#of#morristown , nj
16#wally backman#new york mets#ss#beaverton , or
17#craig harris#oakland athletics#rhp#sierra vista , az
18#anthony nicely#pittsburgh pirates#of#dayton , oh
19#drungo hazewood#baltimore orioles#of#sacramento , ca
20#bob welch#los angeles dodgers#rhp#eastern michigan university
21#mike jones#kansas city royals#lhp#pittsford , ny
22#scott munninghoff#philadelphia phillies#rhp#cincinnati , oh
23#steve taylor#new york yankees#rhp#university of delaware
24#tad venger#cincinnati reds#3b#newhall , ca
25#tom goffena#toronto blue jays#ss#sidney , oh
26#dave henderson#seattle mariners#of#dos palos , ca
