texas vs#overall record#austin#opponent 's venue#neutral site#last 5 meetings#last 10 meetings#current streak
baylor#ut , 57 - 23#ut , 27 - 5#ut , 22 - 13#ut , 7 - 2#bu , 3 - 2#tied , 5 - 5#l 2
colorado#ut , 14 - 4#ut , 6 - 1#ut , 6 - 2#ut , 2 - 1#ut , 4 - 1#ut , 8 - 2#w 1
iowa state#isu , 10 - 9#ut , 6 - 2#isu , 5 - 2#isu , 3 - 1#isu , 3 - 2#tied , 5 - 5#l 2
kansas#ut , 11 - 7#ut , 4 - 3#tied , 4 - 4#ut , 3 - 0#ut , 3 - 2#ut , 7 - 3#w 1
kansas state#ut , 10 - 8#ut , 6 - 2#ksu , 4 - 3#ksu , 2 - 1#ut , 3 - 2#ksu , 6 - 4#l 1
missouri#ut , 15 - 1#ut , 9 - 0#ut , 5 - 1#ut , 1 - 0#ut , 5 - 0#ut , 9 - 1#w 8
nebraska#ut , 12 - 5#ut , 6 - 1#ut , 4 - 3#ut , 2 - 1#ut , 3 - 2#ut , 8 - 2#l 2
oklahoma#ut , 21 - 13#ut , 11 - 4#tied , 7 - 7#ut , 3 - 2#ou , 3 - 2#tied , 5 - 5#w 1
oklahoma state#ut , 21 - 7#ut , 11 - 2#ut , 7 - 4#ut , 2 - 1#osu , 3 - 2#ut , 7 - 3#l 2
texas a&m#ut , 58 - 15#ut , 28 - 4#ut , 23 - 8#ut , 7 - 3#a&m , 4 - 1#tied , 5 - 5#l 3
texas tech#ut , 55 - 24#ut , 25 - 6#ut , 17 - 13#ut , 13 - 4#ttu , 3 - 2#ttu , 6 - 4#w 2
