place#player#country#score#to par#money
1#tiger woods#united states#70 + 66 + 65 + 69 = 270#18#486000
2#tom kite#united states#77 + 69 + 66 + 70 = 282#6#291600
3#tommy tolles#united states#72 + 72 + 72 + 67 = 283#5#183600
4#tom watson#united states#75 + 68 + 69 + 72 = 284#4#129600
t5#costantino rocca#italy#71 + 69 + 70 + 75 = 285#3#102600
t5#paul stankowski#united states#68 + 74 + 69 + 74 = 285#3#102600
t7#fred couples#united states#72 + 69 + 73 + 72 = 286#2#78570
t7#bernhard langer#germany#72 + 72 + 74 + 68 = 286#2#78570
t7#justin leonard#united states#76 + 69 + 71 + 70 = 286#2#78570
t7#davis love iii#united states#72 + 71 + 72 + 71 = 286#2#78570
t7#jeff sluman#united states#74 + 67 + 72 + 73 = 286#2#78570
