driver#starts#finishes#wins#podiums#stage wins#points
sébastien loeb#12#11#7#9#88#93
mikko hirvonen#12#11#4#11#51#92
daniel sordo#12#12#0#7#18#64
jari - matti latvala#12#10#1#4#40#41
petter solberg#10#7#0#2#10#35
henning solberg#12#12#0#2#8#33
matthew wilson#12#11#0#0#2#28
sébastien ogier#12#8#0#1#13#24
federico villagra#8#7#0#0#0#16
conrad rautenbach#12#7#0#0#0#9
mads østberg#7#4#0#0#1#7
khalid al - qassimi#9#9#0#0#0#6
chris atkinson#1#1#0#0#0#4
evgeny novikov#8#4#0#0#4#4
matti rantanen#1#1#0#0#0#4
krzysztof hołowczyc#1#1#0#0#0#3
jari ketomaa#1#1#0#0#0#3
nasser al - attiyah#6#5#0#0#0#1
urmo aava#3#3#0#0#0#1
lambros athanassoulas#2#2#0#0#0#1
