player#sacks#int 's#yards#average#long
john anderson#6.0#2#2#1.0#2
robert brown#3.0#0#0#0.0#0
mike butler#2.0#0#0#0.0#0
mossy cade#0.0#1#0#0.0#0
alphonso carreker#9.0#0#0#0.0#0
mike douglass#1.5#2#126#63.0#80t
tom flynn#0.0#1#7#7.0#7
donnie humphrey#2.0#0#0#0.0#0
ezra johnson#9.5#0#0#0.0#0
mark lee#0.0#1#23#23.0#23
tim lewis#0.0#4#4#1.0#4
charles martin#3.0#0#0#0.0#0
mark murphy#4.0#2#50#25.0#50t
brian noble#3.0#0#0#0.0#0
guy prather#2.0#0#0#0.0#0
randy scott#3.0#2#50#25.0#30
totals#48.0#15#262#17.5#8
