date#visitor#score#home#leading scorer#attendance#record
november 1#rockets#l 95 - 106 (ot)#jazz#boozer (30)#19911#1 - 1
november 3#warriors#w 133 - 110 (ot)#jazz#williams (30)#19911#2 - 1
november 4#jazz#l 109 - 119 (ot)#lakers#williams (26)#18997#2 - 2
november 7#cavaliers#w 103 - 101 (ot)#jazz#millsap (24)#19911#3 - 2
november 9#jazz#w 103 - 101 (ot)#supersonics#boozer (27)#15980#4 - 2
november 10#grizzlies#w 118 - 94 (ot)#jazz#boozer (31)#19771#5 - 2
november 12#kings#w 117 - 93 (ot)#jazz#boozer (32)#19911#6 - 2
november 14#jazz#w 92 - 88 (ot)#raptors#boozer (23)#17337#7 - 2
november 16#jazz#l 94 - 99 (ot)#cavaliers#boozer (26)#19862#7 - 3
november 17#jazz#l 97 - 117 (ot)#pacers#boozer (19)#12447#7 - 4
november 19#nets#w 102 - 75 (ot)#jazz#williams (20)#19911#8 - 4
november 23#hornets#w 99 - 71 (ot)#jazz#boozer (19)#19911#9 - 4
november 25#jazz#w 103 - 93 (ot)#pistons#boozer (36)#22076#10 - 4
november 26#jazz#l 109 - 113 (ot)#knicks#boozer (30)#18816#10 - 5
november 28#jazz#w 106 - 95 (ot)#76ers#boozer (26)#11006#11 - 5
november 30#lakers#w 120 - 96 (ot)#jazz#williams (35)#19911#12 - 5
