rank#no#pos#player#premier league#fa cup#league cup#champions league#club world cup#total
1#8#mf#steven gerrard#10#4#1#7#1#23
2#9#fw#djibril cisse#9#2#0#6#0#19
3#15#fw#peter crouch#8#3#0#0#2#13
4#10#mf#luis garcã­a#7#1#0#2#0#11
5#19#fw#fernando morientes#5#1#0#3#0#9
6#11#fw#robbie fowler#5#0#0#0#0#5
6#14#mf#xabi alonso#3#2#0#0#0#5
8#6#df#john arne riise#1#3#0#0#0#4
9#7#mf#harry kewell#3#0#0#0#0#3
9#24#fw#florent sinama - pongolle#0#2#0#1#0#3
11#4#df#sami hyypia#1#1#0#0#0#2
11#30#mf#boudewijn zenden#2#0#0#0#0#2
13#23#df#jamie carragher#0#0#0#1#0#1
13#28#df#stephen warnock#1#0#0#0#0#1
