res#record#opponent#method#event#round#time#location
win#13 - 5 (1)#evgeny erokhin#decision (split)#fefomp : mayor cup 2013#3#5:00#yuzhno - sakhalinsk , russia
loss#12 - 5 (1)#alexander volkov#decision (unanimous)#bellator 75#3#5:00#hammond , indiana , united states
win#12 - 4 (1)#kevin asplund#tko (doctor stoppage)#bellator 71#2#5:00#chester , west virginia , united states
nc#11 - 4 (1)#todd allee#nc (illegal blow to back of head)#ifl 45: my bloody valentine#1#1:18#auburn hills , michigan , united states
loss#11 - 4#eddie sanchez#decision (split)#titan fighting championships 20#3#5:00#kansas city , kansas , united states
loss#11 - 3#josh barnett#submission (arm - triangle choke)#strikeforce : overeem vs. werdum#2#1:17#dallas , texas , united states
win#11 - 2#ruben villareal#decision (unanimous)#w - 1 mma 6: new ground#3#5:00#halifax , nova scotia , canada
loss#10 - 2#alistair overeem#tko (punches)#strikeforce : heavy artillery#1#3:40#st. louis , missouri , united states
loss#10 - 1#fedor emelianenko#ko (punch)#strikeforce : fedor vs. rogers#2#1:48#hoffman estates , illinois , united states
win#10 - 0#andrei arlovski#tko (punches)#strikeforce : lawler vs. shields#1#0:22#st. louis , missouri , united states
win#9 - 0#abongo humphrey#tko (knees)#strikeforce : shamrock vs. diaz#2#1:38#san jose , california , united states
win#8 - 0#jon murphy#ko (punch)#elitexc : primetime#1#1:01#newark , new jersey , united states
win#7 - 0#james thompson#ko (punches)#elitexc : street certified#1#2:24#sunrise , florida , united states
win#6 - 0#ralph kelly#submission (punches)#elitexc : renegade#1#1:43#corpus christi , texas , united states
win#5 - 0#josh melichar#ko (punches)#efx : fury#1#0:12#minneapolis , minnesota , united states
win#4 - 0#mark racine#tko (punches)#efx : fury#1#2:35#minnesota , united states
win#3 - 0#brian heden#ko (punches)#efx : fury#1#1:20#minneapolis , minnesota , united states
win#2 - 0#chris clark#tko (punches)#efx : fury#1#0:37#minnesota , united states
win#1 - 0#stan strong#ko (punches)#ucs : throwdown at the t - bar#2#0:13#ellsworth , minnesota , united states
