game#date#team#score#high points#high rebounds#high assists#location attendance#record
33#january 2#jazz#w 105 - 95 (ot)#ty lawson (23)#kenyon martin (12)#ty lawson (9)#energysolutions arena 19911#21 - 12
34#january 3#76ers#l 105 - 108 (ot)#nenê (24)#nenê (15)#ty lawson (9)#pepsi center 19155#21 - 13
35#january 5#warriors#w 123 - 122 (ot)#kenyon martin (27)#kenyon martin (13)#ty lawson (8)#pepsi center 15129#22 - 13
36#january 8#cavaliers#w 99 - 97 (ot)#chauncey billups (23)#kenyon martin (12)#chauncey billups (5)#pepsi center 19996#23 - 13
37#january 9#kings#l 100 - 102 (ot)#chauncey billups (27)#kenyon martin (10)#kenyon martin (5)#arco arena 14411#23 - 14
38#january 11#timberwolves#w 105 - 94 (ot)#carmelo anthony (24)#kenyon martin (15)#chauncey billups (10)#pepsi center 14669#24 - 14
39#january 13#magic#w 115 - 97 (ot)#carmelo anthony (27)#kenyon martin (10)#anthony carter (6)#pepsi center 18475#25 - 14
40#january 17#jazz#w 119 - 112 (ot)#carmelo anthony (37)#kenyon martin (9)#jr smith (5)#pepsi center 19519#26 - 14
41#january 20#warriors#w 123 - 118 (ot) ot#chauncey billups (37)#kenyon martin (14)#chauncey billups (8)#oracle arena 17223#27 - 14
42#january 21#clippers#w 105 - 85 (ot)#carmelo anthony (28)#kenyon martin (14)#chauncey billups (6)#pepsi center 15343#28 - 14
43#january 23#hornets#w 116 - 110 (ot)#carmelo anthony (30)#kenyon martin (14)#chauncey billups (9)#pepsi center 19807#29 - 14
44#january 25#bobcats#w 104 - 93 (ot)#chauncey billups (27)#chauncey billups , jr smith (6)#chauncey billups (11)#pepsi center 16909#30 - 14
45#january 27#rockets#w 97 - 92 (ot)#jr smith (22)#kenyon martin (15)#chauncey billups (4)#toyota center 16357#31 - 14
46#january 29#thunder#l 84 - 101 (ot)#jr smith (19)#kenyon martin (9)#chauncey billups (7)#ford center 18203#31 - 15
