res#record#opponent#method#event#round#time#location
loss#21 - 8#rich franklin#ko (punch)#ufc 115#1#4:55#vancouver , british columbia , canada
loss#21 - 7#maurício rua#tko (punches)#ufc 97#1#4:28#montreal , quebec , canada
loss#21 - 6#rashad evans#ko (punch)#ufc 88#2#1:51#atlanta , georgia , united states
win#21 - 5#wanderlei silva#decision (unanimous)#ufc 79#3#5:00#las vegas , nevada , united states
loss#20 - 5#keith jardine#decision (split)#ufc 76#3#5:00#anaheim , california , united states
loss#20 - 4#quinton jackson#tko (punches)#ufc 71#1#1:53#las vegas , nevada , united states
win#20 - 3#tito ortiz#tko (punches)#ufc 66#3#3:59#las vegas , nevada , united states
win#19 - 3#renato sobral#tko (punches)#ufc 62#1#1:35#las vegas , nevada , united states
win#18 - 3#randy couture#ko (punches)#ufc 57#2#1:28#las vegas , nevada , united states
win#17 - 3#jeremy horn#tko (punches)#ufc 54#4#2:46#las vegas , nevada , united states
win#16 - 3#randy couture#ko (punches)#ufc 52#1#2:06#las vegas , nevada , united states
win#15 - 3#vernon white#ko (punch)#ufc 49#1#4:05#las vegas , nevada , united states
win#14 - 3#tito ortiz#ko (punches)#ufc 47#2#0:38#las vegas , nevada , united states
loss#13 - 3#quinton jackson#tko (corner stoppage)#pride final conflict 2003#2#3:10#tokyo , japan
win#13 - 2#alistair overeem#ko (punches)#pride total elimination 2003#1#3:09#saitama , saitama , japan
loss#12 - 2#randy couture#tko (punches)#ufc 43#3#2:39#las vegas , nevada , united states
win#12 - 1#renato sobral#tko (head kick & punches)#ufc 40#1#2:55#las vegas , nevada , united states
win#11 - 1#vitor belfort#decision (unanimous)#ufc 37.5#3#5:00#las vegas , nevada , united states
win#10 - 1#amar suloev#decision (unanimous)#ufc 35#3#5:00#uncasville , connecticut , united states
win#9 - 1#murilo bustamante#decision (unanimous)#ufc 33#3#5:00#las vegas , nevada , united states
win#8 - 1#guy mezger#ko (punch)#pride 14#2#0:21#kanagawa , japan
win#7 - 1#kevin randleman#ko (punches)#ufc 31#1#1:18#atlantic city , new jersey , united states
win#6 - 1#jeff monson#decision (unanimous)#ufc 29#3#5:00#tokyo , japan
win#5 - 1#steve heath#ko (head kick)#ifc 9#2#5:39#friant , california , united states
win#4 - 1#paul jones#tko (cut)#ufc 22#1#3:53#lake charles , louisiana , united states
win#3 - 1#kenneth williams#submission (standing rear - naked choke)#ng 11#1#3:35#los angeles , california , united states
loss#2 - 1#jeremy horn#submission (arm - triangle choke)#ufc 19#1#12:00#bay st louis , mississippi , united states
win#2 - 0#josé landi - jons#decision (unanimous)#ivc 6#1#30:00#sao paulo , brazil
win#1 - 0#noe hernandez#decision (unanimous)#ufc 17#1#12:00#mobile , alabama , united states
