rank#heat#name#nationality#time
1#1#david payne#united states#13.19
2#3#dayron robles#cuba#13.21
3#2#terrence trammell#united states#13.23
4#1#shi dongpeng#china#13.24
5#3#liu xiang#china#13.25
6#1#maurice wignall#jamaica#13.29
7#1#jackson quiñónez#spain#13.33
8#2#serhiy demydyuk#ukraine#13.35
9#2#ladji doucouré#france#13.36
10#2#yoel hernández#cuba#13.37
11#3#andy turner#united kingdom#13.38
12#3#david oliver#united states#13.42
13#1#anselmo da silva#brazil#13.53
14#1#robert kronberg#sweden#13.58
14#3#gregory sedoc#netherlands#13.58
14#3#masato naito#japan#13.58
17#2#xing yanan#china#13.59
18#2#tasuku tanonaka#japan#13.62
19#3#jared macleod#canada#13.66
20#1#adrien deghelt#belgium#13.70
21#3#thomas blaschek#germany#13.77
22#2#staņislavs olijars#latvia#13.78
23#1#dudley dorival#haiti#13.82
24#2#ryan brathwaite#barbados#13.87
