day#stage#time (cet)#name#length#winner#time#avg spd#rally leader
1 (12 feb)#ss1#20:04#oslo#1.92 km#petter solberg#1:32.8#74.5 km / h#petter solberg
2 (13 feb)#ss2#09:03#opaker 1#14.62 km#mikko hirvonen#8:06.0#108.3 km / h#mikko hirvonen
2 (13 feb)#ss3#09:39#kirkenær 1#8.0 km#sébastien loeb#6:36.8#72.6 km / h#sébastien loeb
2 (13 feb)#ss4#10:19#finnskogen 1#20.87 km#mikko hirvonen#11:55.4#105.0 km / h#mikko hirvonen
2 (13 feb)#ss5#11:13#kongsvinger 1#13.45 km#mikko hirvonen#8:56.9#90.2 km / h#mikko hirvonen
2 (13 feb)#ss6#12:45#opaker 2#14.62 km#per - gunnar andersson#8:11.2#107.1 km / h#mikko hirvonen
2 (13 feb)#ss7#13:51#finnskogen 2#20.87 km#per - gunnar andersson#11:58.9#104.5 km / h#mikko hirvonen
2 (13 feb)#ss8#14:45#kongsvinger 2#13.45 km#mikko hirvonen#9:10.3#88.0 km / h#mikko hirvonen
2 (13 feb)#ss9#15:46#kirkenær 2#8.0 km#sébastien loeb#6:55.0#69.46 km / h#sébastien loeb
3 (14 feb)#ss10#07:53#mountain 1#24.36 km#sébastien loeb#12:43.3#114.9 km / h#sébastien loeb
3 (14 feb)#ss11#08:58#lillehammer 1#6.78 km#sébastien loeb#5:04.8#80.1 km / h#sébastien loeb
3 (14 feb)#ss12#09:58#ringsaker 1#27.29 km#sébastien loeb#14:30.8#112.8 km / h#sébastien loeb
3 (14 feb)#ss13#11:04#hamar 1#1.15 km#sébastien loeb#1:11.8#57.7 km / h#sébastien loeb
3 (14 feb)#ss14#13:15#mountain 2#24.36 km#henning solberg#13:13.4#110.5 km / h#sébastien loeb
3 (14 feb)#ss15#14:20#lillehammer 2#6.78 km#jari - matti latvala#5:15.3#77.4 km / h#sébastien loeb
3 (14 feb)#ss16#15:20#ringsaker 2#27.29 km#jari - matti latvala#15:06.7#108.4 km / h#sébastien loeb
3 (14 feb)#ss17#16:26#hamar 2#1.15 km#sébastien loeb#1:14.1#55.9 km / h#sébastien loeb
4 (15 feb)#ss18#07:34#våler 1#30.03 km#mikko hirvonen#16:07.5#111.7 km / h#sébastien loeb
4 (15 feb)#ss19#08:35#elverum 1#13.31 km#sébastien loeb#6:18.9#126.5 km / h#sébastien loeb
4 (15 feb)#ss20#09:23#budor 1#19.74 km#mikko hirvonen#10:12.3#116.1 km / h#sébastien loeb
4 (15 feb)#ss21#11:59#våler 2#30.03 km#mikko hirvonen#16:23.4#109.9 km / h#sébastien loeb
4 (15 feb)#ss22#13:00#elverum 2#13.31 km#mikko hirvonen#6:24.6#124.6 km / h#sébastien loeb
