s dam and gnis query link#s lake and gnis query link#s reservoir and gnis query link#borough or census area#comment
5#27#0#aleutians east#lakes in table , reservoirs done
15#134#0#aleutians west (ca)#lakes , reservoirs done
8#58#6#anchorage#lakes and reservoirs in table
0#81#0#bethel (ca)#lakes , reservoirs done
0#0#0#bristol bay#lakes and reservoirs done
0#50#0#denali#lakes in table , reservoirs done
0#55#0#dillingham (ca)#lakes , reservoirs done
3#19#1#fairbanks north star#lakes and reservoirs in table
3#10#0#haines#lakes in table , reservoirs done
6#55#3#hoonah - angoon (ca)#lakes and reservoirs in table
8#31#5#juneau#lakes and reservoirs in table
10#440#4#kenai peninsula#lakes , reservoirs in table
12#57#8#ketchikan gateway#lakes , reservoirs in table
31#82#11#kodiak island#lakes , reservoirs in table
3#83#0#lake and peninsula#lakes , reservoirs done
5#451#1#matanuska - susitna#lakes , reservoirs in table
1#36#0#nome (ca)#lakes in table , reservoirs done
2#142#2#north slope#lakes , reservoirs in table
1#80#1#northwest arctic#lakes , reservoirs in table
9#163#4#p of wales - o ketchikan (ca)#lakes , reservoirs in table
9#90#3#sitka#lakes , reservoirs in table
3#9#3#skagway#lakes and reservoirs in table
0#130#0#southeast fairbanks (ca)#lakes , reservoirs in table
22#293#10#valdez - cordova (ca)#lakes , reservoirs in table
1#21#0#wade hampton (ca)#lakes in table , reservoirs done
8#60#5#wrangell - petersburg (ca)#lakes , reservoirs in table
0#26#0#yakutat#lakes in table , reservoirs done
2#513#0#yukon - koyukuk (ca)#lakes , reservoirs done
