township#county#pop. (2010)#land ( sqmi )#water (sqmi)#latitude#longitude#geo id#ansi code
mabel#griggs#52#35.989#0.111#47.379473#- 98.447327#3803948820#1036638
madison#hettinger#41#36.315#0.000#46.586935#- 102.487125#3804149660#1759458
maine#adams#22#31.727#0.000#46.244371#- 102.559556#3800149780#1037246
malcolm#mclean#78#26.909#8.540#47.625122#- 101.110332#3805549860#1759539
mandan#ward#51#34.174#1.682#48.247817#- 101.717520#3810149940#1036948
manfred#wells#39#35.850#0.182#47.723093#- 99.743839#3810350060#1759706
manilla#cavalier#83#35.728#0.309#48.761426#- 98.277274#3801950100#1759370
manitou#mountrail#98#36.226#0.467#48.329571#- 102.624520#3806150180#1759549
manning#kidder#65#69.341#2.245#46.706001#- 99.876432#3804350260#1037063
manns#stutsman#78#36.083#0.004#46.667305#- 98.492488#3809350300#1036441
mansfield#barnes#38#35.725#0.549#46.856369#- 98.385958#3800350340#1036417
maple#dickey#49#35.742#0.019#46.147178#- 98.452348#3802150500#1036772
maple river#cass#128#35.652#0.036#46.760708#- 97.239523#3801750540#1036364
mapleton#cass#188#33.871#0.145#46.842672#- 96.978964#3801750620#1036361
marboe#sargent#29#26.354#0.928#45.971178#- 97.302467#3808150660#1036783
margaret#ward#85#36.028#0.072#48.407747#- 101.114324#3810150700#1759684
marion#bowman#17#30.534#0.188#46.227645#- 103.525472#3801150740#1037258
marsh#barnes#283#35.909#0.055#46.847984#- 97.996901#3800350900#1036411
marshall#williams#51#36.322#0.000#48.328679#- 103.409906#3810550980#1037028
marstonmoor#stutsman#23#34.500#1.368#47.115985#- 99.407828#3809351020#1036496
martin#sheridan#40#34.727#1.182#47.803839#- 100.123321#3808351100#2397832
martin#walsh#114#34.165#0.775#48.506272#- 97.332039#3809951140#1036544
maryland#ward#70#36.193#0.102#48.334289#- 101.068522#3810151220#1759685
maryville#rolette#37#35.733#0.289#48.754735#- 99.712103#3807951260#1759625
mauch#sheridan#6#32.761#3.374#47.374121#- 100.097616#3808351350#1037147
mayland#ward#70#35.793#0.110#48.415619#- 101.647093#3810151460#1036943
mayville#traill#133#34.925#0.000#47.453447#- 97.281930#3809751540#1036694
maza#towner#14#35.038#1.138#48.421290#- 99.177432#3809551620#2397835
mcalmond#mountrail#34#35.019#0.806#48.247662#- 102.105846#3806148860#1036996
mcclellan#benson#46#35.817#0.146#48.151192#- 99.395686#3800548980#1759250
mcclusky#sheridan#56#35.262#0.468#47.450731#- 100.491639#3808349060#2397836
mcgahan#mountrail#55#34.591#1.914#48.331776#- 102.104144#3806149140#1033994
mcginnis#mclean#58#35.423#0.675#47.724928#- 101.411086#3805549180#1037002
mchenry#foster#51#35.005#0.659#47.549274#- 98.540120#3803149300#2397838
mckenzie#burleigh#88#35.864#0.060#46.851179#- 100.383637#3801549380#1759339
mckinley#ward#140#36.479#0.047#48.331322#- 101.199844#3810149420#1759686
mckinney#renville#63#35.298#0.557#48.767216#- 101.819319#3807549460#1759613
mckinnon#foster#24#35.662#0.383#47.377328#- 98.701941#3803149500#1759426
meadow#mchenry#44#30.833#4.624#48.596476#- 100.728023#3804951660#1759501
meadow lake#barnes#81#36.113#0.259#46.761465#- 98.353523#3800351700#1036416
medford#walsh#62#34.939#0.000#48.239001#- 97.839744#3809951780#1759672
medicine hill#mclean#45#34.232#0.823#47.625111#- 100.726531#3805551820#1759540
mekinock#grand forks#2535#36.467#0.000#47.976930#- 97.429314#3803551980#1036608
melrose#steele#38#35.884#0.159#47.361819#- 97.783455#3809152020#1036662
melville#foster#35#34.328#1.761#47.375061#- 99.092756#3803152100#1759427
melvin#nelson#27#34.741#1.179#47.882486#- 98.075161#3806352140#1036569
menoken#burleigh#154#35.867#0.061#46.851810#- 100.528570#3801552220#1759340
