rider#year#final position - giro#final position - tour#final position - vuelta
eduardo chozas#1990#11#6#33
marino lejarreta (3)#1990#7#5#55
marino lejarreta (2)#1989#10#5#20
luis - javier lukin#1988#32#82#60
marino lejarreta#1987#4#10#34
philippe poissonier#1985#86#90#66
jose luis uribezubia#1971#29#50#27
jose manuel fuente#1971#39#72#54
federico bahamontes#1958#17#8#6
pierino baffi#1958#23#63#37
mario baroni#1957#74#53#46
gastone nencini#1957#1#6#9
bernardo ruiz (3)#1957#55#24#3
arrigo padovan#1956#12#26#19
bernardo ruiz (2)#1956#38#70#31
josã serra#1956#26#81#9
raphael geminiani#1955#4#6#3
bernardo ruiz#1955#28#22#14
louis caput#1955#68#54#55
