outcome#date#tournament#surface#partner#opponents in the final#score in the final
runner - up#30 august 1998#boston , usa#hard#jack waite#jacco eltingh paul haarhuis#3 - 6 , 2 - 6
runner - up#15 november 1998#stockholm , sweden#hard#peter nyborg#nicklas kulti mikael tillström#5 - 7 , 6 - 3 , 5 - 7
winner#1 august 1999#kitzbühel , austria#clay#peter nyborg#álex calatrava dušan vemić#6 - 3 , 6 - 7 (4 - 7) , 7 - 6 (7 - 4)
winner#21 july 2002#amersfoort , netherlands#clay#jeff coetzee#andré sá alexandre simoni#7 - 6 (7 - 1) , 6 - 3
winner#6 october 2002#tokyo , japan#hard#jeff coetzee#jan - michael gambill graydon oliver#7 - 6 (7 - 4) , 6 - 4
winner#5 january 2003#adelaide , australia#hard#jeff coetzee#max mirnyi jeff morrison#2 - 6 , 6 - 4 , 7 - 6 (9 - 7)
runner - up#27 april 2003#barcelona , spain#clay#robbie koenig#bob bryan mike bryan#4 - 6 , 3 - 6
runner - up#20 july 2003#amersfoort , netherlands#clay#andré sá#devin bowen ashley fisher#0 - 6 , 4 - 6
runner - up#3 august 2003#washington , usa#hard#paul hanley#yevgeny kafelnikov sargis sargsian#5 - 7 , 6 - 4 , 2 - 6
runner - up#22 february 2004#memphis , usa#hard#jeff coetzee#bob bryan mike bryan#3 - 6 , 4 - 6
runner - up#7 march 2004#scottsdale , usa#hard#jeff coetzee#rick leach brian macphie#3 - 6 , 1 - 6
winner#22 august 2004#washington , usa#hard#robbie koenig#travis parrott dmitry tursunov#7 - 6 (7 - 3) , 6 - 1
runner - up#5 february 2006#delray beach , usa#hard#wesley moodie#mark knowles daniel nestor#2 - 6 , 3 - 6
winner#26 february 2006#memphis , usa#hard#ivo karlović#james blake mardy fish#0 - 6 , 7 - 5 ,
runner - up#25 june 2006#'s - hertogenbosch , netherlands#grass#arnaud clément#martin damm leander paes#1 - 6 , 6 - 7 (3 - 7)
runner - up#14 january 2007#auckland , new zealand#hard#simon aspelin#jeff coetzee rogier wassen#7 - 6 (13 - 11) , 3 - 6 ,
runner - up#18 february 2007#san jose , usa#hard#rainer schüttler#eric butorac jamie murray#5 - 7 , 6 - 7 (6 - 8)
runner - up#16 september 2007#beijing , china#hard#lu yen - hsun#rik de voest ashley fisher#7 - 6 (7 - 3) , 0 - 6 ,
