source#date#kaine (d)#kilgore (r)#potts (i)
survey usa#november 7 , 2005#50%#45%#4%
mason - dixon#november 4 , 2005#45%#44%#4%
rasmussen#november 4 , 2005#49%#46%#2%
roanoke college#november 2 , 2005#44%#36%#5%
washington post#october 30 , 2005#47%#44%#4%
rasmussen#october 28 , 2005#46%#44%#4%
mason - dixon#october 25 , 2005#42%#44%#5%
rasmussen#october 24 , 2005#46%#48%#2%
hotline#october 18 , 2005#40%#38%#5%
survey usa#october 17 , 2005#47%#45%#4%
rasmussen#october 12 , 2005#44%#46%#1%
rasmussen#september 28 , 2005#45%#45%#5%
survey usa#september 19 , 2005#43%#46%#4%
mason - dixon#september 18 , 2005#40%#41%#6%
rasmussen#september 16 , 2005#40%#43%#5%
survey usa#august 9 , 2005#43%#48%#3%
rasmussen#august 4 , 2005#39%#45%#5%
mason - dixon#july 24 , 2005#38%#37%#9%
rasmussen#july 14 , 2005#41%#47%#4%
survey usa#june 30 , 2005#39%#49%#5%
rasmussen#june 16 , 2005#40%#46%#2%
survey usa#may 17 , 2005#40%#44%#5%
