bowling figures wickets - runs (overs)#bowler#versus#venue#date
7 - 15 (7)#gd mcgrath#namibia#potchefstroom#27 - 02 - 2003
7 - 20 (10)#aj bichel#england#port elizabeth#02 - 03 - 2003
6 - 23 (10)#a nehra#england#durban#26 - 02 - 2003
6 - 23 (10)#se bond#australia#port elizabeth#11 - 03 - 2003
6 - 25 (9.1)#wpujc vaas#bangladesh#pietermaritzburg#14 - 02 - 2003
5 - 24 (10)#co obuya#sri lanka#nairobi (gymkhana)#24 - 02 - 2003
5 - 27 (9)#a codrington#bangladesh#durban#11 - 02 - 2003
5 - 28 (9)#wasim akram#namibia#kimberley#16 - 02 - 2003
5 - 33 (10)#vc drakes#kenya#kimberley#04 - 03 - 2003
5 - 42 (9.1)#b lee#new zealand#port elizabeth#11 - 03 - 2003
