name#nationality#position#year of birth#career#appearances#goals#club
quique álvarez#spain#defender#1975#1995 - 2009#200#5#villareal
guillermo amor#spain#midfielder#1967#1988 - 2002#402#48#barcelona
francesc arnau#spain#goalkeeper#1975#1996 - 2011#169#0#málaga
mikel arteta#spain#midfielder#1982#2000 - ¤#335#49#arsenal
gai assulin#israel#midfielder#1991#2009 - ¤#21#1#racing santander
sergi barjuán#spain#defender#1971#1993 - 2002#352#6#barcelona
carles busquets#spain#goalkeeper#1967#1990 - 1999#79#0#barcelona
sergio busquets#spain#defender#1988#2008 - ¤#71#2#barcelona
jordi cruyff#netherlands#midfielder#1974#1994 - 2010#256#42#alavés
cesc fàbregas#spain#midfielder#1987#2003 - ¤#233#44#barcelona
dani fernandez#spain#defender#1983#1992 - ¤#92#0#genk
albert ferrer#spain#defender#1970#1990 - 2003#297#1#barcelona
andreu fontàs#spain#defender#1989#2009 - ¤#7#0#barcelona
gabri garcía#spain#midfielder#1979#1999 - ¤#287#26#ajax
luis garcía#spain#midfielder#1978#1999 - ¤#225#40#unam
óscar garcía#spain#midfielder#1973#1992 - 2005#169#31#barcelona
roger garcía#spain#midfielder#1976#1995 - 2007#258#29#espanyol
pep guardiola#spain#midfielder#1971#1990 - 2006#291#9#barcelona
xavi hernández#spain#midfielder#1980#1998 - ¤#405#46#barcelona
mauro icardi#argentina#forward#1993#2012 - ¤#23#10#sampdoria
andrés iniesta#spain#midfielder#1984#2002 - ¤#228#22#barcelona
bojan krkić#spain#forward#1990#2007 - ¤#92#23#amsterdam
thiago motta#italy#midfielder#1982#2001 - ¤#152#20#psg
fernando navarro#spain#defender#1982#2001 - ¤#194#3#sevilla
gerard piqué#spain#defender#1987#2005 - ¤#71#5#barcelona
iván de la peña#spain#midfielder#1976#1995 - 2011#369#24#espanyol
oleguer presas#spain#defender#1980#2002 - ¤#146#2#ajax
carles puyol#spain#defender#1978#1999 - ¤#345#7#barcelona
pepe reina#spain#goalkeeper#1982#2002 - ¤#317#0#napoli
pedro rodríguez#spain#forward#1987#2007 - ¤#60#21#barcelona
víctor valdés#spain#goalkeeper#1982#2002 - ¤#281#0#barcelona
victor vazquez#spain#midfielder#1987#1997 - ¤#44#7#club brugge
jeffrén suárez#spain#forward#1988#2009 - ¤#23#3#sporting
giovani dos santos#mexico#forward#1989#2007 - ¤#96#21#villarreal
luis milla#spain#midfielder#1966#1986 - 2001#298#6#real madrid
nayim#spain#midfielder#1966#1987 - 2000#341#28#tottenham
óscar arpón#spain#midfielder#1975#1995 - ¤#138#5#river ebro
lluís carreras#spain#defender#1972#1992 - 2007#220#10#mallorca
albert celades#spain#midfielder#1975#1995 - ¤#267#11#barcelona
luis cembranos#spain#midfielder#1972#1994 - 2004#176#37#rayo vallecano
sergio garcía#spain#forward#1983#2003 - ¤#166#31#espanyol
javi moreno#spain#forward#1974#1999 - 2010#134#40#alavés
francisco rufete#spain#midfielder#1976#1995 - ¤#280#29#hércules
toni velamazán#spain#midfielder#1977#1995 - ¤#198#27#hospitalet
antonio pinilla#spain#forward#1971#1990 - 2008#242#40#tenerife
ángel pedraza#spain#defender#1962#1982 - 1997#129#5#mallorca
cristóbal parralo#spain#defender#1967#1987 - 2003#517#14#espanyol
lionel messi#argentina#forward#1987#2004 - ¤#327#301#barcelona
