position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real betis#38#51 + 13#19#13#6#69#31#+ 38
2#hércules cf#38#49 + 11#20#9#9#51#34#+ 17
3#ud salamanca#38#48 + 10#20#8#10#53#39#+ 14
4#cd tenerife#38#46 + 8#19#8#11#57#41#+ 16
5#cádiz cf#38#46 + 8#18#10#10#52#37#+ 15
6#gimnástico de tarragona#38#41 + 3#16#9#13#46#40#+ 6
7#real valladolid#38#41 + 3#16#9#13#61#50#+ 11
8#cd san andrés#38#39 + 1#16#7#15#47#38#+ 9
9#sevilla fc#38#39 + 1#15#9#14#48#40#+ 8
10#baracaldo cf#38#39 + 1#14#11#13#49#52#- 3
11#rcd mallorca#38#39 + 1#12#15#11#36#32#+ 4
12#cd orense#38#38#13#12#13#43#45#- 2
13#córdoba cf#38#38#16#6#16#58#58#0
14#rayo vallecano#38#33 - 5#14#5#19#39#51#- 12
15#cd sabadell#38#33 - 5#11#11#16#35#52#- 17
16#burgos cf#38#32 - 6#13#6#19#34#44#- 10
17#ca osasuna#38#28 - 10#10#8#20#36#63#- 27
18#deportivo de la coruña#38#28 - 10#11#6#21#30#56#- 26
19#levante ud#38#27 - 11#10#7#21#37#48#- 11
20#linares cf#38#25 - 13#8#9#21#29#59#- 30
