rider#manufacturer#laps#time / retired#grid
casey stoner#ducati#25#43:16.907#4
valentino rossi#yamaha#25#+ 0.069#1
dani pedrosa#honda#25#+ 0.390#3
john hopkins#suzuki#25#+ 7.814#5
randy de puniet#kawasaki#25#+ 17.853#2
loris capirossi#ducati#25#+ 19.409#17
chris vermeulen#suzuki#25#+ 19.495#11
alex barros#ducati#25#+ 24.862#14
marco melandri#honda#25#+ 24.963#9
colin edwards#yamaha#25#+ 35.348#6
nicky hayden#honda#25#+ 36.301#7
makoto tamada#yamaha#25#+ 38.720#16
alex hofmann#ducati#25#+ 40.934#10
sylvain guintoli#yamaha#25#+ 44.399#13
shinya nakano#honda#25#+ 54.103#12
kenny roberts , jr#kr212v#25#+ 59.655#18
carlos checa#honda#25#+ 1:02.315#15
kurtis roberts#kr212v#25#+ 1:03.322#19
toni elã­as#honda#14#retirement#8
