rank#nation#gold#silver#bronze#total
1#canada (can)#14#7#5#26
2#germany (ger)#10#13#7#30
3#united states (usa)#9#15#13#37
4#norway (nor)#9#8#6#23
5#south korea (kor)#6#6#2#14
6#switzerland (sui)#6#0#3#9
7#china (chn)#5#2#4#11
7#sweden (swe)#5#2#4#11
9#austria (aut)#4#6#6#16
10#netherlands (ned)#4#1#3#8
11#russia (rus)#3#5#7#15
12#france (fra)#2#3#6#11
13#australia (aus)#2#1#0#3
14#czech republic (cze)#2#0#4#6
15#poland (pol)#1#3#2#6
16#italy (ita)#1#1#3#5
17#belarus (blr)#1#1#1#3
17#slovakia (svk)#1#1#1#3
19#great britain (gbr)#1#0#0#1
20#japan (jpn)#0#3#2#5
21#croatia (cro)#0#2#1#3
21#slovenia (slo)#0#2#1#3
23#latvia (lat)#0#2#0#2
24#finland (fin)#0#1#4#5
25#estonia (est)#0#1#0#1
25#kazakhstan (kaz)#0#1#0#1
total (26 nocs)#total (26 nocs)#86#87#85#258
