week#date#opponent#result#game site#attendance
1#1977 - 09 - 18#houston oilers#l 20 - 0#the astrodome#39488
2#1977 - 09 - 25#baltimore colts#l 20 - 12#shea stadium#43439
3#1977 - 10 - 02#new england patriots#w 30 - 27#shea stadium#38227
4#1977 - 10 - 09#buffalo bills#w 24 - 19#rich stadium#32046
5#1977 - 10 - 16#miami dolphins#l 21 - 17#miami orange bowl#43446
6#1977 - 10 - 23#oakland raiders#l 28 - 27#shea stadium#56734
7#1977 - 10 - 30#new england patriots#l 24 - 13#schafer stadium#61042
8#1977 - 11 - 06#miami dolphins#l 14 - 10#shea stadium#51582
9#1977 - 11 - 13#seattle seahawks#l 17 - 0#shea stadium#42923
10#1977 - 11 - 20#baltimore colts#l 33 - 12#memorial stadium#50957
11#1977 - 11 - 27#pittsburgh steelers#l 23 - 20#shea stadium#47385
12#1977 - 12 - 04#new orleans saints#w 16 - 13#louisiana superdome#40464
13#1977 - 12 - 11#buffalo bills#l 14 - 10#shea stadium#31929
14#1977 - 12 - 18#philadelphia eagles#l 27 - 0#veterans stadium#19241
