year#winner#score#opponent#location
1991#utah#86 - 69#creighton#arena - auditorium ( laramie , wyoming )
1992#creighton#74 - 63#utah#salt lake city , utah
1993#byu#53 - 50#utah#delta center ( salt lake city , utah )
1994#san diego state#51 - 47#colorado state#delta center ( salt lake city , utah )
1995#utah#64 - 57#san diego state#the pit ( albuquerque , new mexico )
1996#colorado state#72 - 65#new mexico#the pit ( albuquerque , new mexico )
1997#san diego state#56 - 50#utah#thomas & mack center ( las vegas , nevada )
1998#new mexico#69 - 48#rice#thomas & mack center ( las vegas , nevada )
1999#smu#65 - 49#colorado state#thomas & mack center ( las vegas , nevada )
2000#rice#71 - 67#smu#selland arena ( fresno , california )
2001#tcu#66 - 58#hawaii#reynolds center ( tulsa , oklahoma )
2002#louisiana tech#53 - 50#hawaii#reynolds center ( tulsa , oklahoma )
2003#louisiana tech#89 - 57#fresno state#reynolds center ( tulsa , oklahoma )
2004#louisiana tech#76 - 52#rice#save mart center ( fresno , california )
2005#rice#86 - 66#louisiana tech#lawlor events center ( reno , nevada )
2006#louisiana tech#63 - 39#new mexico state#lawlor events center ( reno , nevada )
2007#boise state#49 - 39#new mexico state#pan american center ( las cruces , new mexico )
2008#fresno state#72 - 56#new mexico state#pan american center ( las cruces , new mexico )
2009#fresno state#56 - 49#nevada#lawlor events center ( reno , nevada )
2010#louisiana tech#68 - 66#fresno state#lawlor events center ( reno , nevada )
2011#fresno state#78 - 76#louisiana tech#orleans arena ( las vegas , nevada )
2012#fresno state#89 - 61#louisiana tech#orleans arena ( las vegas , nevada )
