year#tournament#venue#result#event#points
2002#world junior championships#kingston , jamaica#9th#decathlon#7142
2005#meeting international d'arles#arles , france#22nd#decathlon#7214
2005#european cup combined events super league#bydgoszcz , poland#1st#decathlon#8149 (pb)
2005#world championships#helsinki , finland#12th#decathlon#8003
2005#décastar#talence , france#9th#decathlon#7994
2006#hypo - meeting#götzis , austria#12th#decathlon#8002
2006#european cup combined events super league#arles , france#4th#decathlon#7980
2006#european championships#gothenburg , sweden#dnf#decathlon#-
2008#national championships#rakvere , estonia#1st#decathlon#8117
2008#olympic games#beijing , china#11th#decathlon#8178 (pb)
2009#european indoor championships#turin , italy#1st#heptathlon#6362 (wl , pb)
2009#world championships#berlin , germany#dnf#decathlon#-
2009#décastar#talence , france#2nd#decathlon#8255 (pb)
2010#national championships#tallinn , estonia#1st#heptathlon#6156
2010#hypo - meeting#götzis , austria#7th#decathlon#8084
2010#european cup combined events super league#tallinn , estonia#2nd#decathlon#8198
2010#european championships#barcelona , spain#4th#decathlon#8298 (pb)
2010#iaaf world combined events challenge#iaaf#5th#decathlon#24 580
2011#european indoor championships#paris , france#13th#heptathlon#5782
2011#hypo - meeting#götzis , austria#3rd#decathlon#8398 (pb)
2011#world championships#daegu , south korea#9th#decathlon#8164
2011#décastar#talence , france#2nd#decathlon#8184
2011#iaaf world combined events challenge#iaaf#3rd#decathlon#24 746
2013#international meeting & national championships#tallinn , estonia#1st#heptathlon#6024
2013#european cup combined events super league#tallinn , estonia#3rd#decathlon#8099
2013#world championships#moscow , russia#17th#decathlon#8170
