pos#grid#car#driver#constructor#manufacturer#laps#laps led#points
1#3#42#juan pablo montoya#earnhardt ganassi racing#chevrolet#90#74#195
2#5#2#kurt busch#penske racing#dodge#90#0#170
3#11#47#marcos ambrose#jtg daugherty racing#toyota#90#8#170
4#4#43#aj allmendinger#richard petty motorsports#ford#90#0#160
5#1#99#carl edwards#roush fenway racing#ford#90#0#155
6#2#1#jamie mcmurray#earnhardt ganassi racing#chevrolet#90#5#155
7#6#14#tony stewart#stewart haas racing#chevrolet#90#0#146
8#10#18#kyle busch#joe gibbs racing#toyota#90#0#142
9#22#31#jeff burton#richard childress racing#chevrolet#90#0#138
10#16#24#jeff gordon#hendrick motorsports#chevrolet#90#0#134
11#20#29#kevin harvick#richard childress racing#chevrolet#90#0#130
12#19#39#ryan newman#stewart haas racing#chevrolet#90#1#132
13#31#17#matt kenseth#roush fenway racing#ford#90#0#124
14#12#77#sam hornish , jr#penske racing#dodge#90#0#121
15#25#56#martin truex , jr#michael waltrip racing#toyota#90#0#118
16#23#98#paul menard#richard petty motorsports#ford#90#0#115
17#36#9#kasey kahne#richard petty motorsports#ford#90#0#112
18#33#71#andy lally#trg motorsports#chevrolet#90#0#109
19#24#5#mark martin#hendrick motorsports#chevrolet#90#2#111
20#32#12#brad keselowski#penske racing#dodge#90#0#103
21#17#26#patrick carpentier#latitude 43 motorsports#ford#90#0#100
22#28#13#max papis#germain racing#toyota#90#0#97
23#30#0#david reutimann#michael waltrip racing#toyota#90#0#94
24#7#16#greg biffle#roush fenway racing#ford#90#0#91
25#35#6#david ragan#roush fenway racing#ford#90#0#88
26#40#88#dale earnhardt , jr#hendrick motorsports#chevrolet#90#0#85
27#43#38#david gilliland#front row motorsports#ford#90#0#82
28#9#48#jimmie johnson#hendrick motorsports#chevrolet#90#0#79
29#38#19#elliott sadler#richard petty motorsports#ford#90#0#76
30#41#37#travis kvapil#front row motorsports#ford#90#0#73
31#42#34#kevin conway#front row motorsports#ford#90#0#70
32#34#33#clint bowyer#richard childress racing#chevrolet#89#0#67
33#18#20#joey logano#joe gibbs racing#toyota#88#0#64
34#27#78#regan smith#furniture row racing#chevrolet#84#0#61
35#29#9#bobby labonte#phoenix racing#chevrolet#84#0#58
36#15#7#robby gordon#robby gordon motorsports#toyota#72#0#55
37#14#11#denny hamlin#joe gibbs racing#toyota#70#0#52
38#13#83#boris said#red bull racing team#toyota#65#0#49
39#37#87#joe nemechek#nemco motorsports#toyota#54#0#46
40#21#36#ron fellows#tommy baldwin racing#chevrolet#46#0#43
41#39#7#pj jones#robby gordon motorsports#toyota#36#0#40
42#26#55#michael mcdowell#prism motorsports#toyota#35#0#37
43#8#82#scott speed#red bull racing team#toyota#28#0#34
