year#movie (in kannada )#director#cast#music director
1970#aanireekshita#b.nagesh babu#kalpana , k.s.aswath , b.v. radha#vijaya bhaskar
1970#aparaajithe#r.m.veerabadriah#kalyan kumar , mynavati , aswath#rajan - nagendra
1970#arashina kunkuma#ravi#kalyan kumar , kalpana , dwarakish#vijaya bhaskar
1970#aaru mooru ombattu#k.s.l.swamy#udayakumar , sudarshan#vijaya bhaskar
1970#baalu belagithu#siddalingaiah#rajkumar , jayanti , dwarakish#vijaya bhaskar
1970#bhale jodi#y.r.swamy#rajkumar , bharati , balakrishna#r.ratna
1970#bhale kiladi#s.n.singh#srinath , udaychandrika , dikki madhava rao#satyam
1970#bhupati ranga#geetapriya#rajkumar , udayachandrika , narasimharaju#vijaya bhaskar
1970#boregowda bangalorige bandha#b.a.arasu#rajesh , leelavati , vandana#rajan - nagendra
1970#c.i.d. rajanna#r.rama murthy#rajkumar , rajashree , balakrishna#satyam
1970#devara makkalu#y.r.swamy#rajkumar , rajesh#g.k.venkatesh
1970#gejje pooje#s.r.puttanna kanagaal#kalpana , leelavati , pandaribai#vijaya bhaskar
1970#hasiru thorana#t.v.singh#rajkumar , bharati , uday kumar#upendra kumar
1970#kallara kalla#m.p.shankar#uday kumar , sudarshan , aarathi#satyam
1970#kanneeru#b.m.sankar#jayanti , b.m. venkatesh , dinesh#rajan - nagendra
1970#karulina kare#s.r.puttanna kanagaal#rajkumar , kalpana , r.nagendra rao#m.ranga rao
1970#lakshmi saraswathi#ravi#b. sarojadevi , ramesh , sudarshan#vijaya bhaskar
1970#modala raatri#vijay#narasimharaju , srinath , rajashree#satyam
1970#mr. rajkumar#b.s.ranga#rajkumar , rajashree , nagappa#s.rajeswara rao
1970#mrutyu panjaradalli goodachari 555#sunanda#uday kumar , srinath , udayachandrika#satyam
1970#muru muttugalu#aaruru pattabhi#srinath , mynavati , rajesh#rajan - nagendra
1970#naadina bhagya#r.nagendra rao#rajkumar , srilalitha , r.nagendra rao#r.ratnam
1970#namma mane#bangaara raju#rajesh , kalpana , dinesh#upendra kumar
1970#nanna tamma#k.babu rao#rajkumar , gangadhar , dinesh#ghantasala
1970#pratheekara#m.s.gopinath#uday kumar , kalpana , aswath#satyam
1970#rangamahal rahasya#vijay#srinath , bharati , narasimharaju#satyam
1970#sedige sedu#a.v.sheshagiri rao#uday kumar , jayanti , balakrishna#satyam
1970#samskaara#pattabhirama reddy#girish karnad , lankesh , snehalata reddy#rajiv taranath
