no#player#position#height#weight#class#hometown
9#elmer plew#guard#6 - 0#170#freshman#paris , illinois
11#jim dutcher#forward#6 - 3#185#freshman#downers grove , illinois
16#jim wright#guard#6 - 0#160#sophomore#lawrenceville , illinois
19#james bredar#guard#5 - 11#167#junior#salem , illinois
22#johnny kerr#center#6 - 9#205#sophomore#chicago , illinois / tilden high school
24#ed makovsky#forward#6 - 5#194#freshman#cicero , illinois / morton high school
25#robert peterson#center#6 - 8#235#junior#wayne , illinois
26#irving bemoras#guard#6 - 3 1 / 2#185#junior#chicago , illinois / marshall high school
27#jack follmer#center#6 - 4#200#senior#forrest , illinois
33#clive follmer#forward#6 - 4#195#junior#forrest , illinois
34#seymour gantman#guard#5 - 7#165#senior#chicago , illinois / marshall high school
35#ren alde#guard#6 - 2#180#senior#pana , illinois
37#rod fletcher (captain)#guard#6 - 4#194#senior#champaign , illinois
38#herb gerecke#guard#6 - 1#180#senior#pekin , illinois
41#max hooper#forward#6 - 5#200#sophomore#mt vernon , illinois
