block a#goto#jado#kakihara#kanemoto#minoru#samurai#stampede
goto#x#jado (11:31)#goto (10:16)#kanemoto (11:28)#minoru (11:28)#goto (10:08)#goto (7:57)
jado#jado (11:31)#x#kakihara (8:02)#kanemoto (10:40)#minoru (12:29)#jado (14:04)#stampede (9:59)
kakihara#goto (10:16)#kakihara (8:02)#x#kanemoto (10:29)#kakihara (10:04)#samurai (10:47)#kakihara (8:30)
kanemoto#kanemoto (11:28)#kanemoto (10:40)#kanemoto (10:29)#x#minoru (19:38)#samurai (12:15)#kanemoto (9:34)
minoru#minoru (11:28)#minoru (12:29)#kakihara (10:04)#minoru (19:38)#x#minoru (13:04)#stampede (11:30)
samurai#goto (10:08)#jado (14:04)#samurai (10:47)#samurai (12:15)#minoru (13:04)#x#samurai (9:31)
stampede#goto (7:57)#stampede (9:59)#kakihara (8:30)#kanemoto (9:34)#stampede (11:30)#samurai (9:31)#x
block b#anzawa#b tiger#gedo#inoue#liger#takemura#t mask
anzawa#x#b tiger (6:13)#gedo (10:21)#anzawa (forfeit)#liger (8:36)#takemura (7:46)#t mask (5:34)
b tiger#b tiger (6:13)#x#gedo (forfeit)#inoue (11:01)#liger (forfeit)#b tiger (6:46)#t mask (forfeit)
gedo#gedo (10:21)#gedo (forfeit)#x#inoue (15:13)#gedo (17:24)#gedo (11:29)#gedo (11:25)
inoue#anzawa (forfeit)#inoue (11:01)#inoue (15:13)#x#liger (16:50)#takemura (forfeit)#inoue (11:53)
liger#liger (8:36)#liger (forfeit)#gedo (17:24)#liger (16:50)#x#liger (12:12)#t mask (8:58)
takemura#takemura (7:46)#b tiger (6:46)#gedo (11:29)#takemura (forfeit)#liger (12:12)#x#t mask (6:12)
t mask#t mask (5:34)#t mask (forfeit)#gedo (11:25)#inoue (11:53)#t mask (8:58)#t mask (6:12)#x
