club#played#drawn#lost#points for#points against#tries for#tries against#try bonus
club#played#drawn#lost#points for#points against#tries for#tries against#try bonus
morriston rfc#22#2#4#575#261#82#32#9
crymych rfc#22#0#7#500#323#64#43#7
hendy rfc#22#1#9#599#406#83#55#8
tenby united rfc#22#2#7#364#267#41#28#2
llandeilo rfc#22#3#7#340#291#37#37#3
pontarddulais rfc#22#2#10#387#344#58#48#7
trimsaran rfc#22#2#10#319#283#43#29#2
birchgrove rfc#22#2#11#453#475#63#60#7
pembroke rfc#22#2#13#286#453#36#61#4
tycroes rfc#22#2#12#335#544#40#80#2
neyland rfc#22#1#15#299#513#40#71#3
milford haven rfc#22#1#17#300#597#45#88#3
