date#winner#score#location#series
october 24 , 1981#clemson#17 - 7#clemson , sc#clemson 31 - 18 - 1
october 23 , 1982#clemson#38 - 29#raleigh , nc#clemson 32 - 18 - 1
october 22 , 1983#clemson#27 - 17#clemson , sc#clemson 33 - 18 - 1
october 27 , 1984#clemson#35 - 34#raleigh , nc#clemson 34 - 18 - 1
october 26 , 1985#clemson#39 - 10#clemson , sc#clemson 35 - 18 - 1
october 25 , 1986#nc state#27 - 3#raleigh , nc#clemson 35 - 19 - 1
october 24 , 1987#nc state#30 - 28#clemson , sc#clemson 35 - 20 - 1
october 22 , 1988#nc state#10 - 3#raleigh , nc#clemson 35 - 21 - 1
october 21 , 1989#clemson#30 - 10#clemson , sc#clemson 36 - 21 - 1
october 20 , 1990#clemson#24 - 17#raleigh , nc#clemson 37 - 21 - 1
october 26 , 1991#clemson#29 - 19#clemson , sc#clemson 38 - 21 - 1
october 24 , 1992#nc state#20 - 6#raleigh , nc#clemson 38 - 22 - 1
october 2 , 1993#clemson#20 - 14#clemson , sc#clemson 39 - 22 - 1
september 10 , 1994#nc state#29 - 12#clemson , sc#clemson 39 - 23 - 1
september 30 , 1995#clemson#43 - 22#raleigh , nc#clemson 40 - 23 - 1
november 16 , 1996#clemson#40 - 17#clemson , sc#clemson 41 - 23 - 1
september 13 , 1997#clemson#19 - 17#raleigh , nc#clemson 42 - 23 - 1
october 31 , 1998#nc state#46 - 39#clemson , sc#clemson 42 - 24 - 1
october 9 , 1999#nc state#35 - 31#raleigh , nc#clemson 42 - 25 - 1
october 7 , 2000#clemson#34 - 27#clemson , sc#clemson 43 - 25 - 1
october 13 , 2001#clemson#45 - 37#raleigh , nc#clemson 44 - 25 - 1
october 24 , 2002#nc state#38 - 6#clemson , sc#clemson 44 - 26 - 1
october 16 , 2003#nc state#17 - 15#raleigh , nc#clemson 44 - 27 - 1
october 30 , 2004#clemson#26 - 20#clemson , sc#clemson 45 - 27 - 1
october 13 , 2005#clemson#31 - 10#raleigh , nc#clemson 46 - 27 - 1
november 11 , 2006#clemson#20 - 14#clemson , sc#clemson 47 - 27 - 1
september 22 , 2007#clemson#42 - 20#raleigh , nc#clemson 48 - 27 - 1
september 13 , 2008#clemson#27 - 9#clemson , sc#clemson 49 - 27 - 1
november 14 , 2009#clemson#43 - 23#raleigh , nc#clemson 50 - 27 - 1
november 6 , 2010#clemson#14 - 13#clemson , sc#clemson 51 - 27 - 1
november 19 , 2011#nc state#37 - 13#raleigh , nc#clemson 51 - 28 - 1
november 17 , 2012#clemson#62 - 48#clemson , sc#clemson 52 - 28 - 1
september 19 , 2013#clemson#26 - 14#raleigh , nc#clemson 53 - 28 - 1
