round#pick#player#position#college
1#19#tom ruud#linebacker#nebraska
2#42#bob nelson#linebacker#nebraska
2#50#glenn loft#defensive back#drake university
4#102#tom donchez#running back#penn state
5#115#john mccrumbly#linebacker#texas a&m
7#166#gil chapman#running back#michigan
7#174#reggie cherry#running back#houston
7#175#harry banks#defensive back#michigan
8#201#john hill#defensive tackle#duke
10#253#roland hooks#running back#north carolina state
11#279#tom drake#defensive back#michigan
12#305#mark johnson#defensive end#missouri
13#331#mark dienhart#tackle#st thomas (mn)
14#357#robert evans#wide receiver#morris brown
15#383#chris kupec#quarterback#north carolina
16#408#tom fine#tight end#notre dame
17#435#jeff turcotte#defensive end#colorado
