character name#voice actor (japanese)#voice actor (english 1997 / saban)#voice actor (english 1998 / pioneer)#voice actor (english 2006 / funimation)
goku#masako nozawa#ian james corlett#peter kelamis#sean schemmel
gohan#masako nozawa#saffron henderson#saffron henderson#stephanie nadolny
krillin#mayumi tanaka#terry klassen#terry klassen#sonny strait
yamcha#toru furuya#ted cole#ted cole#christopher sabat
tien#hirotaka suzuoki#matt smith#matt smith#john burgmeier
chiaotzu#hiroko emori#cathy weseluck#cathy weseluck#monika antonelli
piccolo#toshio furukawa#scott mcneil#scott mcneil#christopher sabat
bulma#hiromi tsuru#lalainia lindbjerg#lalainia lindbjerg#tiffany vollmer
chi - chi#mayumi shō#laara sadiq#laara sadiq#cynthia cranz
oolong#naoki tatsuta#alec willows#scott mcneil#bradford jackson
puar#naoko watanabe#cathy weseluck#cathy weseluck#monika antonelli
master roshi#kōhei miyauchi#dave ward#don brown#mike mcfarland
king kai#joji yanami#don brown#don brown#sean schemmel
shenron#kenji utsumi#don brown#don brown#christopher sabat
icarus / higher dragon#naoki tatsuta#doug parker#doug parker#christopher sabat
rasin#kenji utsumi#don brown#scott mcneil#andy mcavin
lagasin#masaharu satou#alec willows#don brown#andy mcavin
daiz#yūji machi#scott mcneil#scott mcneil#mark lancaster
kakao#shinobu satouchi#alvin sanders#alvin sanders#jeff johnson
armond#banjo ginga#paul dobson#paul dobson#paul slavens
