rider#manufacturer#laps#time / retired#grid
valentino rossi#honda#27#46:50.345#5
max biaggi#honda#27#+ 6.333#3
troy bayliss#ducati#27#+ 12.077#2
tohru ukawa#honda#27#+ 16.186#4
alex barros#yamaha#27#+ 18.630#15
makoto tamada#honda#27#+ 24.153#12
john hopkins#suzuki#27#+ 30.959#7
shinya nakano#yamaha#27#+ 31.218#13
nobuatsu aoki#proton kr#27#+ 36.002#8
olivier jacque#yamaha#27#+ 37.566#9
noriyuki haga#aprilia#27#+ 43.753#18
jeremy mcwilliams#proton kr#27#+ 43.894#14
kenny roberts , jr#suzuki#27#+ 48.891#17
colin edwards#aprilia#27#+ 52.128#11
andrew pitt#kawasaki#27#+ 1:08.179#20
alex hofmann#kawasaki#27#+ 1:08.372#21
marco melandri#yamaha#27#+ 1:31.010#16
garry mccoy#kawasaki#26#+ 1 lap#22
loris capirossi#ducati#12#accident#1
nicky hayden#honda#8#accident#19
sete gibernau#honda#6#accident#6
carlos checa#yamaha#3#retirement#10
