res#record#opponent#method#round#time#location
win#14 - 8#kyle keeney#tko (leg kick & punches)#1#0:50#ft lauderdale , fl , united states
win#13 - 8#dwayne lewis#tko (punches)#2#3:19#edmonton , alberta , canada
loss#12 - 8#ryan jimmo#decision (unanimous)#3#5:00#edmonton , alberta , canada
loss#12 - 7#alan belcher#tko (punches)#1#3:03#memphis , tennessee , united states
loss#12 - 6#nate marquardt#tko (knee and punches)#3#3:10#london , england
win#12 - 5#jason macdonald#submission (elbows)#1#2:18#las vegas , nevada , united states
win#11 - 5#ryan jensen#submission (armbar)#2#2:04#omaha , nebraska , united states
loss#10 - 5#goran reljić#tko (punches)#2#3:15#nevada , united states
win#10 - 4#jason lambert#ko (punch)#2#0:37#newcastle upon tyne , england
win#9 - 4#carmelo marrero#submission (guillotine choke)#1#3:06#las vegas , nevada , united states
win#8 - 4#seth petruzelli#submission (guillotine choke)#2#0:39#nevada , united states
win#7 - 4#wes combs#submission (rear naked choke)#1#3:23#las vegas , nevada , united states
loss#6 - 4#keith jardine#decision (unanimous)#3#5:00#las vegas , nevada , united states
win#6 - 3#kazuhiro hamanaka#ko (punches)#1#0:39#atlantic city , new jersey , united states
win#5 - 3#mike delaney#submission (punches)#1#3:23#racine , wisconsin , united states
loss#4 - 3#rory singer#ko (knee)#2#4:55#miami , florida , united states
win#4 - 2#ron faircloth#decision (unanimous)#3#5:00#fort lauderdale , florida , united states
loss#3 - 2#ron faircloth#tko (corner stoppage)#1#5:00#fort lauderdale , florida , united states
loss#3 - 1#hirotaka yokoi#tko (punches)#3#2:26#fort lauderdale , florida , united states
win#3 - 0#jon fitch#ko (knee)#1#3:38#fort lauderdale , florida , united states
win#2 - 0#ahron davis#ko (punch)#1#0:22#marietta , georgia , united states
win#1 - 0#ray casias#submission (armbar)#1#2:59#evansville , indiana , united states
