#spacecraft#spacewalkers#start ( utc )#end (utc)#duration
192#sts - 98 eva 1#thomas jones robert curbeam#february 10 , 2001 15:50#february 10 , 2001 23:24#7 h , 34 min
193#sts - 98 eva 2#thomas jones robert curbeam#february 12 , 2001 15:59#february 12 , 2001 22:49#6 h , 50 min
194#sts - 98 eva 3#thomas jones robert curbeam#february 14 , 2001 14:48#february 14 , 2001 20:13#5 h , 25 min
195#sts - 102 eva 1#james voss susan helms#march 11 , 2001 05:12#march 11 , 2001 14:08#8 h , 56 min
196#sts - 102 eva 2#andy thomas paul w richards#march 13 , 2001 05:23#march 13 , 2001 11:44#6 h , 21 min
197#sts - 100 eva 1#chris hadfield scott parazynski#april 22 , 2001 11:45#april 22 , 2001 18:55#7 h , 10 min
198#sts - 100 eva 2#chris hadfield scott parazynski#april 24 , 2001 12:34#april 24 , 2001 20:14#7 h , 40 min
199#iss expedition 2 eva 1#yury usachev james voss#june 8 , 2001 14:21#june 8 , 2001 14:40#0 h , 19 min
200#sts - 104 eva 1#michael gernhardt james reilly#july 15 , 2001 03:10#july 15 , 2001 09:09#5 h , 59 min
201#sts - 104 eva 2#michael gernhardt james reilly#july 18 , 2001 03:04#july 18 , 2001 09:33#6 h , 29 min
202#sts - 104 eva 3#michael gernhardt james reilly#july 21 , 2001 04:35#july 21 , 2001 08:37#4 h , 02 min
203#sts - 105 eva 1#daniel barry patrick forrester#august 16 , 2001 13:58#august 16 , 2001 20:14#6 h , 16 min
204#sts - 105 eva 2#daniel barry patrick forrester#august 18 , 2001 13:42#august 18 , 2001 19:11#5 h , 29 min
205#iss expedition 3 eva 1#vladimir dezhurov mikhail tyurin#october 8 , 2001 14:24#october 8 , 2001 19:22#4 h , 58 min
206#iss expedition 3 eva 2#vladimir dezhurov mikhail tyurin#october 15 , 2001 09:17#october 15 , 2001 15:08#5 h , 51 min
207#iss expedition 3 eva 3#vladimir dezhurov , frank culbertson#november 12 , 2001 21:41#november 13 , 2001 02:46#5 h , 05 min
208#iss expedition 3 eva 4#vladimir dezhurov mikhail tyurin#december 3 , 2001 13:20#december 3 , 2001 16:06#2 h , 46 min
