rider#manufacturer#laps#time#grid
valentino rossi#yamaha#28#44:30.799#4
jorge lorenzo#yamaha#28#+ 4.997#5
colin edwards#yamaha#28#+ 6.805#2
dani pedrosa#honda#28#+ 10.157#1
chris vermeulen#suzuki#28#+ 21.762#8
andrea dovizioso#honda#28#+ 22.395#10
loris capirossi#suzuki#28#+ 27.806#11
nicky hayden#honda#28#+ 27.995#6
randy de puniet#honda#28#+ 29.344#12
shinya nakano#honda#28#+ 30.822#13
toni elã­as#ducati#28#+ 35.154#14
alex de angelis#honda#28#+ 36.216#15
sylvain guintoli#ducati#28#+ 52.038#16
anthony west#kawasaki#28#+ 1:29.307#18
marco melandri#ducati#27#+ 1 lap#17
casey stoner#ducati#26#+ 2 laps#3
john hopkins#kawasaki#16#retirement#9
james toseland#yamaha#2#accident#7
