place#player#country#score#to par#money (us)
1#arnold palmer#united states#67 + 73 + 72 + 70 = 282#6#17500
2#ken venturi#united states#73 + 69 + 71 + 70 = 283#5#10500
3#dow finsterwald#united states#71 + 70 + 72 + 71 = 284#4#7000
4#billy casper#united states#71 + 71 + 71 + 74 = 287#1#5250
5#julius boros#united states#72 + 71 + 70 + 75 = 288#e#4200
t6#walter burkemo#united states#72 + 69 + 75 + 73 = 289#+ 1#2800
t6#ben hogan#united states#73 + 68 + 72 + 76 = 289#+ 1#2800
t6#gary player#south africa#72 + 71 + 72 + 74 = 289#+ 1#2800
t9#lionel hebert#united states#74 + 70 + 73 + 73 = 290#+ 2#1575
t9#stan leonard#canada#72 + 72 + 72 + 74 = 290#+ 2#1575
