missouri vs#overall record#columbia#opponents venue#neutral site#last 5 meetings#last 10 meetings#current streak#since joining sec
alabama#ua , 4 - 2#tied , 1 - 1#ua , 1 - 0#ua , 2 - 1#ua , 3 - 2#ua , 4 - 2#w 2#mu , 1 - 0
arkansas#ua , 20 - 19#mu , 11 - 8#ua , 11 - 8#ua , 1 - 0#ua , 3 - 2#ua , 8 - 2#w 1#tied , 1 - 1
auburn#mu , 1 - 0#mu , 1 - 0#tied , 0 - 0#tied , 0 - 0#mu , 1 - 0#mu , 1 - 0#w 1#mu , 1 - 0
florida#tied , 1 - 1#mu , 1 - 0#uf , 1 - 0#tied , 0 - 0#tied , 1 - 1#tied , 1 - 1#w 1#tied , 1 - 1
georgia#mu , 4 - 0#mu , 2 - 0#mu , 1 - 0#mu , 1 - 0#mu , 4 - 0#mu , 4 - 0#w 4#mu , 1 - 0
kentucky#uk , 5 - 0#tied , 0 - 0#uk , 3 - 0#uk , 2 - 0#uk , 5 - 0#uk , 5 - 0#l 5#uk , 1 - 0
louisiana state#lsu , 2 - 1#mu , 1 - 0#lsu , 1 - 0#lsu , 1 - 0#lsu , 2 - 1#lsu , 2 - 1#w 1#tied , 1 - 1
mississippi#um , 2 - 1#mu , 1 - 0#um , 1 - 0#um , 1 - 0#um , 2 - 1#um , 2 - 1#l 1#um , 2 - 1
mississippi state#mu , 3 - 1#mu , 2 - 0#tied , 1 - 1#tied , 0 - 0#mu , 3 - 1#mu , 3 - 1#w 1#mu , 1 - 0
south carolina#mu , 2 - 0#mu , 1 - 0#mu , 1 - 0#tied , 0 - 0#mu , 2 - 0#mu , 2 - 0#w 2#mu , 2 - 0
tennessee#mu , 4 - 3#mu , 2 - 0#tied , 2 - 2#ut , 1 - 0#ut , 3 - 2#mu , 4 - 3#l 1#ut , 1 - 0
texas a&m#mu , 14 - 11#mu , 6 - 3#tamu , 7 - 4#mu , 4 - 1#mu , 3 - 2#tamu , 7 - 3#w 1#tied , 1 - 1
vanderbilt#tied , 3 - 3#mu , 3 - 0#vu , 2 - 0#vu , 1 - 0#vu , 3 - 2#tied , 3 - 3#w 2#mu , 1 - 0
