team#location#venue#capacity#position in 199293
dinamo minsk#minsk#dinamo , minsk#41040#1
kim#vitebsk#central , vitebsk#8300#2
dinamo - 93#minsk#dinamo , minsk#41040#3
neman#grodno#neman#6300#4
dnepr#mogilev#spartak , mogilev#11200#5
fandok#bobruisk#spartak , bobruisk#3550#6
dinamo brest#brest#dinamo , brest#10080#7
torpedo mogilev#mogilev#torpedo , mogilev#3500#8
torpedo minsk#minsk#torpedo , minsk#5200#9
gomselmash#gomel#central , gomel#11800#10
shakhtyor#soligorsk#stroitel#5000#11
lokomotiv#vitebsk#central , vitebsk#8300#12
molodechno#molodechno#city stadium#5500#13
stroitel#starye dorogi#stroitel#2000#14
vedrich#rechytsa#central , rechytsa#3550#15
shinnik#bobruisk#spartak , bobruisk#3550#first league , 1
