year#title#role#producer#director
july 26 , 2000#pera o bayong#(cameo)#star cinema#edgar mortiz
october 11 , 2000#minsan ko lang sasabihin#anna liwanag#millennium cinema#danilo p cabreira
november 15 , 2000#kahit isang saglit#annie#star cinema#gilbert perez
june 20 , 2001#luv text#melissa#maverick#rowell santiago
july 18 , 2001#mahal kitakahit sino ka pa#karen#mmg#jose balagtas
august 29 , 2001#bakit 'di totohanin#kate / katong#star cinema#boots plata
january 9 , 2002#walang iwanan peksman!#helen#jolo films#toto natividad
january 30 , 2002#may pag - ibig pa kaya#emily#starlight#jose n carreon
may 22 , 2002#akala mo#rizzette#viva films#lyle sacris
june 12 , 2002#magkapatid#lisa#viva films#joel lamangan
july 31 , 2002#pakisabi na lang mahal ko siya#geraldine#regal films#boots plata
august 28 , 2002#jologs#(cameo) coffee shop customer#star cinema#gilbert perez
october 23 , 2002#jeannie , bakit ngayon ka lang#jeannie#viva films#ike jarlego , jr
