date#opponent#result#score#record#streak
fri , feb 4 , 1972#milwaukee bucks#win#118 - 105#45 - 7#won 4
sat , feb 5 , 1972#golden state warriors#win#108 - 96#46 - 7#won 5
sun , feb 6 , 1972#baltimore bullets#win#151 - 127#47 - 7#won 6
tue , feb 8 , 1972#new york knicks#win#107 - 102#48 - 7#won 7
wed , feb 9 , 1972#atlanta hawks#win#117 - 113#49 - 7#won 8
fri , feb 11 , 1972#boston celtics#loss#108 - 121#49 - 8#lost 1
sun , feb 13 , 1972#baltimore bullets#win#121 - 110#50 - 8#won 1
tue , feb 15 , 1972#new jersey nets#win#125 - 118#51 - 8#won 2
wed , feb 16 , 1972#phoenix suns#loss#109 - 110#51 - 9#lost 1
fri , feb 18 , 1972#portland trail blazers#win#125 - 114#52 - 9#won 1
sat , feb 19 , 1972#portland trail blazers#win#115 - 94#53 - 9#won 2
sun , feb 20 , 1972#boston celtics#win#132 - 113#54 - 9#won 3
tue , feb 22 , 1972#detroit pistons#loss#134 - 135 (ot)#54 - 10#lost 1
wed , feb 23 , 1972#houston rockets#loss#110 - 115#54 - 11#lost 2
fri , feb 25 , 1972#cincinnati royals#win#109 - 88#55 - 11#won 1
sun , feb 27 , 1972#chicago bulls#win#123 - 118 (ot)#56 - 11#won 2
tue , feb 29 , 1972#new york knicks#win#114 - 111#57 - 11#won 3
