position#team#points#played#drawn#lost#against#difference
1#santos#89#46#8#11#58#45
2#atlético - pr#86#46#11#10#56#37
3#são paulo#82#46#10#12#43#35
4#palmeiras#79#46#13#11#47#25
5#corinthians#74#46#14#12#54#0
6#goiás#72#46#9#16#68#13
7#juventude#70#46#10#16#66#- 6
8#internacional#67#46#7#19#59#7
9#fluminense#67#46#13#15#68#- 3
10#ponte preta#64#46#7#20#73#- 30
11#figueirense#63#46#12#17#59#- 2
12#coritiba#62#46#17#14#48#5
13#cruzeiro#56#46#8#22#81#- 12
14#paysandu#56#46#14#18#76#- 20
15#paraná#54#46#9#22#73#- 21
16#vasco#54#46#12#20#68#- 4
17#flamengo#54#46#15#18#53#- 2
18#são caetano#53#46#8#15#49#16
19#atlético - mg#53#46#17#17#66#- 6
20#botafogo#51#46#18#17#71#- 9
21#criciúma#50#46#11#22#78#- 17
22#guarani#49#46#16#19#55#- 12
23#vitória#48#46#9#24#87#- 19
24#grêmio#39#46#12#25#80#- 20
