date#visitor#score#home#leading scorer#attendance#record
3 february 2008#mavericks#67 - 90#pistons#two - way tie (15)#22076#31 - 15
4 february 2008#mavericks#107 - 98#magic#josh howard (28)#16974#32 - 15
6 february 2008#bucks#96 - 107#mavericks#dirk nowitzki (29)#20079#33 - 15
8 february 2008#grizzlies#81 - 92#mavericks#dirk nowitzki (21)#20315#34 - 15
10 february 2008#mavericks#82 - 101#nets#dirk nowitzki (21)#16395#34 - 16
11 february 2008#mavericks#76 - 84#sixers#josh howard (17)#11728#34 - 17
13 february 2008#trail blazers#76 - 96#mavericks#dirk nowitzki (37)#20159#35 - 17
14 february 2008#mavericks#97 - 109#suns#dirk nowitzki (36)#18422#35 - 18
20 february 2008#mavericks#93 - 104#hornets#dirk nowitzki (31)#15941#35 - 19
22 february 2008#mavericks#98 - 83#grizzlies#dirk nowitzki (27)#16245#36 - 19
24 february 2008#mavericks#99 - 83#timberwolves#dirk nowitzki (29)#19429#37 - 19
25 february 2008#bulls#94 - 102#mavericks#dirk nowitzki (29)#20340#38 - 19
28 february 2008#mavericks#94 - 97#spurs#dirk nowitzki (28)#18797#38 - 20
29 february 2008#kings#106 - 115#mavericks#dirk nowitzki (34)#20354#39 - 20
