club#city#stadium#capacity#201112 season
aprilia#aprilia#quinto ricci#2000#5th in lega pro seconda divisione b
arzanese#arzano (playing in frattamaggiore )#pasquale ianniello#4000#9th in lega pro seconda divisione b
aversanormanna#aversa#augusto bisceglia#2555#11th in lega pro seconda divisione b
borgo a buggiano#buggiano#alberto benedetti#2000#10th in lega pro seconda divisione a
campobasso#campobasso#romagnoli#4000#13th in lega pro seconda divisione b
chieti#chieti#guido angelini#12750#4th in lega pro seconda divisione b
foligno#foligno#enzo blasone#5650#18th in lega pro prima divisione a
fondi#fondi#domenico purificato#2500#12th in lega pro seconda divisione b
gavorrano#gavorrano#romeo malservisi#2000#7th in lega pro seconda divisione b
hinterreggio#reggio calabria#oreste granillo#27543#1st in serie d girone i
l'aquila#l'aquila#tommaso fattori#10000#8th in lega pro seconda divisione b
martina franca#martina franca#gian domenico tursi#5000#1st in serie d girone h
melfi#melfi#arturo valerio#4100#16th in lega pro seconda divisione b
poggibonsi#poggibonsi#stefano lotti#2513#9th in lega pro seconda divisione a
pontedera#pontedera#ettore mannucci#5000#1st in serie d girone e
salernitana#salerno#arechi#37245#1st in serie d girone g (as salerno)
teramo#teramo#comunale#7498#1st in serie d girone f
vigorlamezia#lamezia terme#guido d'ippolito#4000#3rd in lega pro seconda divisione b
