game#date#team#score#high points#high assists#location attendance#record
46#february 2#sacramento#w 129 - 81 (ot)#amar'e stoudemire (25)#steve nash (9)#us airways center 18422#26 - 20
47#february 4#golden state#l 112 - 124 (ot)#jason richardson (24)#steve nash (9)#oracle arena 19596#26 - 21
48#february 6#golden state#w 115 - 105 (ot)#grant hill (27)#steve nash (8)#us airways center 18422#27 - 21
49#february 8#detroit#w 107 - 97 (ot)#jason richardson (21)#steve nash (21)#the palace of auburn hills 22076#28 - 21
50#february 9#philadelphia#l 91 - 108 (ot)#amar'e stoudemire (19)#steve nash (8)#wachovia center 16797#28 - 22
51#february 11#cleveland#l 92 - 109 (ot)#amar'e stoudemire (27)#leandro barbosa (7)#quicken loans arena 20562#28 - 23
52#february 17#la clippers#w 140 - 100 (ot)#leandro barbosa (24)#steve nash (10)#us airways center 18422#29 - 23
53#february 18#la clippers#w 142 - 119 (ot)#amar'e stoudemire (42)#steve nash (12)#staples center 18169#30 - 23
54#february 20#oklahoma city#w 140 - 118 (ot)#leandro barbosa (41)#matt barnes (9)#us airways center 18422#31 - 23
55#february 22#boston#l 108 - 128 (ot)#jason richardson (21)#steve nash (11)#us airways center 18422#31 - 24
56#february 24#charlotte#w 112 - 102 (ot)#steve nash (22)#steve nash (5)#us airways center 18422#32 - 24
57#february 26#la lakers#l 106 - 132 (ot)#leandro barbosa (18)#leandro barbosa (7)#staples center 18997#32 - 25
58#february 27#toronto#w 133 - 113 (ot)#shaquille o'neal (45)#grant hill (12)#us airways center 18422#33 - 25
