name#latitude#longitude#diameter#year named
abydos facula#33.4n#153.4w#180.0#1985
akhmin facula#27.7n#189.5w#245.0#1997
bigeh facula#29.0n#94.3w#224.0#2000
busiris facula#15.7n#215.4w#369.0#1985
buto facula#13.2n#203.5w#245.0#1985
coptos facula#9.9n#209.2w#329.0#1985
dendera facula#0.0n#257.0w#114.0#1985
edfu facula#25.7n#147.1w#184.0#1985
heliopolis facula#18.5n#147.2w#50.0#1997
hermopolis facula#22.4n#195.3w#260.0#1997
memphis facula#14.1n#131.9w#361.0#1985
ombos facula#4.8n#236.0w#170.0#1985
punt facula#26.1s#242.2w#228.0#1985
sais facula#37.9n#14.2w#137.0#1988
siwah facula#7.0n#143.1w#220.0#1985
tettu facula#37.6n#161.2w#189.0#1985
thebes facula#7.1n#202.4w#360.0#1985
