sd#rk#player#points#points defending#points won#new points#status
1#1#caroline wozniacki#8035#280#900#8655#semifinals lost to li na
2#2#vera zvonareva#6785#280#900#7405#semifinals lost to kim clijsters
3#3#kim clijsters#6675#160#2000#8515#champion , won against li na
4#5#venus williams#4985#500#160#4645#third round lost to andrea petkovic
5#6#samantha stosur#4982#280#160#4862#third round lost to petra kvitová
6#7#francesca schiavone#4835#280#500#5055#quarterfinals lost to caroline wozniacki
7#8#jelena janković#4445#160#100#4385#second round lost to peng shuai
8#10#victoria azarenka#4155#500#280#3935#fourth round lost to li na
9#11#li na#3950#900#1400#4450#final lost to kim clijsters
10#12#shahar pe'er#3225#160#160#3225#third round lost to flavia pennetta
11#13#justine henin#3215#1400#160#1975#third round lost to svetlana kuznetsova
12#14#agnieszka radwańska#3000#160#500#3340#quarterfinals lost to kim clijsters
13#15#nadia petrova#2702#500#160#2362#third round lost to ekaterina makarova
14#16#maria sharapova#2661#5#280#2936#fourth round lost andrea petkovic
15#17#marion bartoli#2655#160#100#2595#second round lost to vesna manasieva
16#18#anastasia pavlyuchenkova#2585#100#160#2645#third round lost to iveta benešová
17#19#aravane rezaï#2445#100#5#2350#first round lost to barbora záhlavová - strýcová
18#20#maria kirilenko#2540#500#100#2140#second round lost to iveta benešová
19#21#ana ivanovic#2500#100#5#2405#first round lost to ekaterina makarova
20#22#kaia kanepi#2460#100#100#2460#second round lost to julia görges
21#23#yanina wickmayer#2370#280#100#2190#second round lost to anastasija sevastova
22#24#flavia pennetta#2355#100#280#2535#fourth round lost to petra kvitová
23#25#svetlana kuznetsova#2310#280#280#2310#fourth round lost to francesca schiavone
24#26#alisa kleybanova#2420#160#100#2360#second round lost to simona halep
25#28#petra kvitová#2018#100#500#2418#quarterfinals lost to vera zvonareva
26#29#maría josé martínez sánchez#2010#100#100#2010#second round lost to alizé cornet
27#30#alexandra dulgheru#2000#5#5#2000#first round lost to ayumi morita
28#31#daniela hantuchová#1945#160#5#1790#first round lost to regina kulikova
29#32#dominika cibulková#1905#5#160#2060#third round lost to caroline wozniacki
30#33#andrea petkovic#1890#100#500#2290#quarterfinals lost to li na
31#34#lucie šafářová#1780#5#160#1935#third round lost to vera zvonareva
