date#venue#home team#score#away team#competition#winner#head to head
8 june 1974#sydney cricket ground , sydney , new south wales#australia#6 - 16#new zealand#1974 bledisloe cup#new zealand#australia 13 , new zealand 47 , drawn 4
1 june 1974#ballymore stadium , brisbane , queensland#australia#16 - 16#new zealand#1974 bledisloe cup#draw#australia 13 , new zealand 46 , drawn 4
25 may 1974#sydney cricket ground , sydney , new south wales#australia#6 - 11#new zealand#1974 bledisloe cup#new zealand#australia 13 , new zealand 46 , drawn 3
16 september 1972#eden park , auckland#new zealand#38 - 3#australia#1972 bledisloe cup#new zealand#australia 13 , new zealand 45 , drawn 3
2 september 1972#lancaster park , christchurch#new zealand#30 - 17#australia#1972 bledisloe cup#new zealand#australia 13 , new zealand 44 , drawn 3
19 august 1972#athletic park , wellington#new zealand#29 - 6#australia#1972 bledisloe cup#new zealand#australia 13 , new zealand 43 , drawn 3
22 june 1968#ballymore stadium , brisbane , queensland#australia#18 - 19#new zealand#1968 bledisloe cup#new zealand#australia 13 , new zealand 42 , drawn 3
15 june 1968#sydney cricket ground , sydney , new south wales#australia#11 - 27#new zealand#1968 bledisloe cup#new zealand#australia 13 , new zealand 41 , drawn 3
19 august 1967#athletic park , wellington#new zealand#29 - 9#australia#1967 bledisloe cup#new zealand#australia 13 , new zealand 40 , drawn 3
29 august 1964#athletic park , wellington#new zealand#5 - 20#australia#1964 bledisloe cup#australia#australia 13 , new zealand 39 , drawn 3
22 august 1964#lancaster park , christchurch#new zealand#18 - 3#australia#1964 bledisloe cup#new zealand#australia 12 , new zealand 39 , drawn 3
15 august 1964#carisbrook , dunedin#new zealand#14 - 9#australia#1964 bledisloe cup#new zealand#australia 12 , new zealand 38 , drawn 3
22 september 1962#eden park , auckland#new zealand#16 - 8#australia#1962 bledisloe cup#new zealand#australia 12 , new zealand 37 , drawn 3
8 september 1962#carisbrook , dunedin#new zealand#3 - 0#australia#1962 bledisloe cup#new zealand#australia 12 , new zealand 36 , drawn 3
25 august 1962#athletic park , wellington#new zealand#9 - 9#australia#1962 bledisloe cup#draw#australia 12 , new zealand 35 , drawn 3
4 june 1962#sydney cricket ground , sydney , new south wales#australia#5 - 14#new zealand#1962 bledisloe cup#new zealand#australia 12 , new zealand 35 , drawn 2
26 may 1962#exhibition ground , brisbane , queensland#australia#6 - 20#new zealand#1962 bledisloe cup#new zealand#australia 12 , new zealand 34 , drawn 2
20 september 1958#epsom showgrounds , auckland#new zealand#17 - 8#australia#1958 bledisloe cup#new zealand#australia 12 , new zealand 33 , drawn 2
6 september 1958#lancaster park , christchurch#new zealand#3 - 6#australia#1958 bledisloe cup#australia#australia 12 , new zealand 32 , drawn 2
23 august 1958#athletic park , wellington#new zealand#25 - 3#australia#1958 bledisloe cup#new zealand#australia 11 , new zealand 32 , drawn 2
1 june 1957#exhibition ground , brisbane , queensland#australia#9 - 22#new zealand#1957 bledisloe cup#new zealand#australia 11 , new zealand 31 , drawn 2
25 may 1957#sydney cricket ground , sydney , new south wales#australia#11 - 25#new zealand#1957 bledisloe cup#new zealand#australia 11 , new zealand 30 , drawn 2
17 september 1955#eden park , auckland#new zealand#3 - 8#australia#1955 bledisloe cup#australia#australia 11 , new zealand 29 , drawn 2
3 september 1955#carisbrook , dunedin#new zealand#8 - 0#australia#1955 bledisloe cup#new zealand#australia 10 , new zealand 29 , drawn 2
20 august 1955#athletic park , wellington#new zealand#16 - 8#australia#1955 bledisloe cup#new zealand#australia 10 , new zealand 28 , drawn 2
13 september 1952#athletic park , wellington#new zealand#15 - 8#australia#1952 bledisloe cup#new zealand#australia 10 , new zealand 27 , drawn 2
6 september 1952#lancaster park , christchurch#new zealand#9 - 14#australia#1952 bledisloe cup#australia#australia 10 , new zealand 26 , drawn 2
21 july 1951#woolloongabba ground , brisbane , queensland#australia#6 - 16#new zealand#1951 bledisloe cup#new zealand#australia 9 , new zealand 26 , drawn 2
7 july 1951#sydney cricket ground , sydney , new south wales#australia#11 - 17#new zealand#1951 bledisloe cup#new zealand#australia 9 , new zealand 25 , drawn 2
23 june 1951#sydney cricket ground , sydney , new south wales#australia#0 - 8#new zealand#1951 bledisloe cup#new zealand#australia 9 , new zealand 24 , drawn 2
24 september 1949#eden park , auckland#new zealand#9 - 16#australia#1949 bledisloe cup#australia#australia 9 , new zealand 23 , drawn 2
3 september 1949#athletic park , wellington#new zealand#6 - 11#australia#1949 bledisloe cup#australia#australia 8 , new zealand 23 , drawn 2
28 june 1947#sydney cricket ground , sydney , new south wales#australia#14 - 27#new zealand#1947 bledisloe cup#new zealand#australia 7 , new zealand 23 , drawn 2
14 june 1947#exhibition ground , brisbane , queensland#australia#5 - 13#new zealand#1947 bledisloe cup#new zealand#australia 7 , new zealand 22 , drawn 2
28 september 1946#eden park , auckland#new zealand#14 - 10#australia#1946 bledisloe cup#new zealand#australia 7 , new zealand 21 , drawn 2
