res#record#opponent#method#event#round#time#location
loss#14 - 7 (1)#jordan mein#tko (punches)#ufc 158#1#4:42#montreal , quebec , canada
win#14 - 6 (1)#ricardo funch#submission (guillotine choke)#ufc on fx : maynard vs guida#3#3:12#atlantic city , new jersey , united states
loss#13 - 6 (1)#rousimar palhares#decision (unanimous)#ufc 134#3#5:00#rio de janeiro , brazil
loss#13 - 5 (1)#nate marquardt#decision (unanimous)#ufc 128#3#5:00#newark , new jersey , united states
win#13 - 4 (1)#joe doerksen#decision (split)#ufc 124#3#5:00#montreal , quebec , canada
win#12 - 4 (1)#john salter#submission (ninja choke)#ufc 118#2#1:53#boston , massachusetts , united states
loss#11 - 4 (1)#michael bisping#decision (unanimous)#ufc 114#3#5:00#las vegas , nevada , united states
loss#11 - 3 (1)#demian maia#decision (unanimous)#ufc 109#3#5:00#las vegas , nevada , united states
loss#11 - 2 (1)#chael sonnen#decision (unanimous)#ufc 98#3#5:00#las vegas , nevada , united states
win#11 - 1 (1)#jake rosholt#submission (guillotine choke)#ufc fight night : lauzon vs stephens#1#1:03#tampa , florida , united states
win#10 - 1 (1)#matt horwich#decision (unanimous)#ufc 90#3#5:00#rosemont , illinois , united states
win#9 - 1 (1)#rob kimmons#submission (rear naked choke)#ufc fight night : diaz vs neer#1#1:27#omaha , nebraska , united states
win#8 - 1 (1)#ryan mcgivern#submission (kneebar)#ifl : connecticut#1#3:36#uncasville , connecticut , united states
nc#7 - 1 (1)#mike geurin#no contest (headbutt)#ring of combat 18#1#0:34#atlantic city , new jersey , united states
win#7 - 1#john howard#decision (unanimous)#ring of combat 17: beast of the northeast finals#3#5:00#atlantic city , new jersey , united states
win#6 - 1#dave phillips#submission (standing guillotine choke)#ifl : 2007 semifinals#1#1:30#east rutherford , new jersey , united states
win#5 - 1#jose rodriguez#decision (unanimous)#cage fury fighting championships 4#3#5:00#atlantic city , new jersey , united states
win#4 - 1#lance everson#submission (rear naked choke)#cage fury fighting championships 2#1#2:26#atlantic city , new jersey , united states
win#3 - 1#dave perez#tko (corner stoppage)#cage fury fighting championships 1#1#5:00#atlantic city , new jersey , united states
loss#2 - 1#mike massenzio#decision (split)#reality fighting 12: return to boardwalk hall#3#5:00#atlantic city , new jersey , united states
win#2 - 0#jay coleman#submission (armbar)#reality fighting 11: battle at taj mahal#1#n / a#atlantic city , new jersey , united states
win#1 - 0#tenyeh dixon#submission (triangle choke)#reality fighting 10#1#2:20#atlantic city , new jersey , united states
