res#record#opponent#method#event#round#location
win#17 - 16#steve granieri#ko (knee)#fight to win : outlaws#2#denver , colorado
loss#16 - 16#sean wilson#tko (punches)#rof 37: warlords#2#omaha , nebraska
win#16 - 15#jordan eggli#submission (punches)#midwest championship fighting : perdition#1#north platte , nebraska
loss#15 - 15#gideon ray#decision (unanimous)#raw power - mma#3#sanabis , bahrain
loss#15 - 14#josh arocho#submission (rear naked choke)#rof 34: judgment day#2#broomfield , colorado , usa
loss#15 - 13#billy evangelista#decision (unanimous)#strikeforce : payback#3#denver , colorado , usa
loss#15 - 12#torrance taylor#submission (rear naked choke)#rof 32: respect#3#broomfield , colorado , usa
loss#15 - 11#marcus aurãlio#tko (punches)#ufc 78#1#newark , new jersey , usa
loss#15 - 10#nate mohr#decision (unanimous)#ufc fight night 10#3#hollywood , florida , usa
win#15 - 9#dennis davis#decision (split)#rof 29: aftershock#3#broomfield , colorado , usa
win#14 - 9#justin graves#tko (punches)#mcf : notorious#1#north platte , nebraska , usa
win#13 - 9#samuel guillet#ko (punches)#tko 28: inevitable#1#montreal , quebec , canada
win#12 - 9#jeff luhman#tko (punches)#mcf : genesis#2#north platte , nebraska , usa
loss#11 - 9#alonzo martinez#submission (guillotine choke)#vfc 16: kings#2#council bluffs , iowa , usa
win#11 - 8#alonzo martinez#tko (punches)#vfc 13: redemption#2#north platte , nebraska , usa
win#10 - 8#nick boulware#tko (punches)#ifc : rumble on the river#1#kearney , nebraska , usa
loss#9 - 8#chris avila#submission (armbar)#ritr : rumble in the rockies#1#colorado , usa
loss#9 - 7#alvin robinson#submission (rear naked choke)#rof 20: elite#1#castle rock , colorado , usa
win#9 - 6#david moench#decision (unanimous)#uce : round 17 - finals#3#salt lake city , utah , usa
win#8 - 6#james martinez#tko (corner stoppage)#rof 18: river valley rumble#1#north platte , nebraska , usa
win#7 - 6#vern baca#submission (strikes)#ring of fire 16#2#colorado , usa
loss#6 - 6#bart palaszewski#submission (guillotine choke)#combat : do fighting challenge 2#n / a#illinois , usa
win#6 - 5#tom kirk#tko#combat : do fighting challenge 1#3#cicero , illinois , usa
win#5 - 5#tim means#tko (injury)#ring of fire 13#1#castle rock , colorado , usa
win#4 - 5#james martinez#decision (majority)#rof 12: nemesis#2#castle rock , colorado , usa
loss#3 - 5#john strawn#submission (rear naked choke)#extreme challenge 57#2#council bluffs , iowa , usa
loss#3 - 4#jake hudson#submission (keylock)#vfc 7: showdown#1#council bluffs , iowa , usa
loss#3 - 3#alonzo martinez#tko (corner stoppage)#vfc 6: overload#3#council bluffs , iowa , usa
win#3 - 2#brock jensen#decision (unanimous)#rof 10: intensity#3#castle rock , colorado , usa
win#2 - 2#kendrick johnson#tko (punches)#victory fighting 5#1#council bluffs , iowa , usa
loss#1 - 2#tom sarah#submission (triangle choke)#rof 8: reckoning#2#castle rock , colorado , usa
win#1 - 1#steve horton#tko (injury)#vfc 4: wildcard#1#council bluffs , iowa , usa
loss#0 - 1#brock larson#submission (keylock)#iww - iowa winter waters#n / a#spirit lake , iowa , usa
