heat#lane#name#nationality#time
9#4#pieter van den hoogenband#netherlands#48.64
10#5#michael klim#australia#49.09
10#6#lars frölander#sweden#49.16
10#4#alexander popov#russia#49.29
9#5#gary hall , jr#united states#49.32
8#2#denis pimankov#russia#49.45
8#5#chris fydler#australia#49.45
9#7#salim iles#algeria#49.70
8#4#neil walker#united states#49.73
10#2#lorenzo vismara#italy#49.74
10#1#roland mark schoeman#south africa#49.74
10#8#josé meolans#argentina#49.75
9#3#gustavo borges#brazil#49.76
8#7#christian tröger#germany#49.76
9#6#attila zubor#hungary#49.79
7#8#duje draganja#croatia#49.83
10#7#bartosz kizierowski#poland#49.84
8#6#johan kenkhuis#netherlands#49.93
8#1#stefan nystrand#sweden#50.19
9#2#karel novy#switzerland#50.19
6#3#peter mankoč#slovenia#50.28
8#3#romain barnier#france#50.32
7#2#rolandas gimbutis#lithuania#50.46
6#1#kim min - suk#south korea#50.49
7#4#torsten spanneberg#germany#50.56
9#8#yannick lupien#canada#50.62
8#8#pavlo khnykin#ukraine#50.63
7#3#javier botello#spain#50.87
7#5#craig hutchison#canada#50.90
9#1#aleh rukhlevich#belarus#50.96
7#1#marcos hernández#cuba#50.96
7#7#thierry wouters#belgium#51.07
7#6#jere hård#finland#51.11
6#5#spyridon bitsakis#greece#51.28
6#8#sergey ashihmin#kyrgyzstan#51.28
4#2#carl probert#fiji#51.34
6#7#richard sam bera#indonesia#51.52
6#6#yoav bruck#israel#51.62
5#1#nikola kalabić#yugoslavia#51.82
4#5#christopher murray#bahamas#51.93
5#2#allen ong#malaysia#51.93
5#7#george gleason#virgin islands#52.00
4#7#indrek sei#estonia#52.09
4#6#tamer hamed#egypt#52.14
5#3#květoslav svoboda#czech republic#52.18
3#4#paul kutscher#uruguay#52.22
4#8#fernando jácome#colombia#52.24
4#4#mark chay#singapore#52.24
6#2#željko panić#bosnia and herzegovina#52.40
6#4#francisco sánchez#venezuela#52.43
3#2#howard hinds#netherlands antilles#52.52
4#3#glen walshaw#zimbabwe#52.53
5#6#igor sitnikov#kazakhstan#52.57
3#3#aleksandr agafonov#uzbekistan#52.58
5#4#wu nien - pin#chinese taipei#52.72
5#5#felipe delgado#ecuador#52.78
5#8#chrysanthos papachrysanthou#cyprus#52.82
3#5#ríkardur ríkardsson#iceland#52.85
3#6#george bovell#trinidad and tobago#52.90
3#1#gentle offoin#nigeria#52.91
3#7#kenny roberts#seychelles#53.40
4#1#rodrigo olivares#chile#53.50
2#3#gregory arkhurst#ivory coast#53.55
3#8#alejandro castellanos#honduras#54.06
2#4#hamid reza mobarez#iran#54.12
2#5#christophe lim wen ying#mauritius#54.33
2#6#ganaagiin galbadrakh#mongolia#58.79
2#2#ragi edde#lebanon#59.26
2#7#marien michel ngouabi#congo#1:00.39
2#1#dawood youssef mohamed jassim#bahrain#1:02.45
1#5#eric moussambani#equatorial guinea#1:52.72
1#3#karim bare#niger#dsq
1#4#farkhod oripov#tajikistan#dsq
10#3#fernando scherer#brazil#dns
