driver#car#make#points#laps#winnings
kevin harvick#29#chevrolet#185#312#228486
tony stewart#20#chevrolet#175#312#211536
matt kenseth#17#ford#170#312#168116
carl edwards#99#ford#160#312#126685
clint bowyer#7#chevrolet#160#312#122325
kasey kahne#9#dodge#150#312#124189
jimmie johnson#48#chevrolet#146#312#127111
bobby labonte#43#dodge#142#312#117661
jeff burton#31#chevrolet#138#312#108870
jeff gordon#24#chevrolet#134#312#124111
mark martin#6#ford#135#311#98425
sterling marlin#14#chevrolet#127#311#90883
brian vickers#25#chevrolet#124#311#80275
jamie mcmurray#26#ford#121#311#112750
greg biffle#16#ford#128#311#102350
ken schrader#21#ford#115#311#95389
tony raines#96#chevrolet#112#311#65075
jeff green#66#chevrolet#109#311#91808
dale jarrett#88#ford#106#311#99325
casey mears#42#dodge#103#311#103983
travis kvapil#32#chevrolet#100#311#80958
martin truex jr#1#chevrolet#97#311#86233
dale earnhardt jr#8#chevrolet#94#310#102291
kurt busch#2#dodge#91#310#103833
kenny wallace#178#chevrolet#88#310#63075
jeremy mayfield#19#dodge#85#310#95841
dave blaney#22#dodge#87#309#75172
jj yeley#18#chevrolet#84#309#99975
david stremme#40#dodge#76#308#73175
scott wimmer#4#chevrolet#73#307#65525
kyle petty#45#dodge#70#305#72400
brent sherman#49#dodge#67#305#61750
stanton barrett#95#chevrolet#64#301#62575
denny hamlin#11#chevrolet#61#289#61500
joe nemechek#1#chevrolet#58#283#87720
kyle busch#5#chevrolet#60#259#84425
elliott sadler#38#ford#57#247#89008
scott riggs#10#dodge#49#229#60975
ryan newman#12#dodge#46#221#106258
reed sorenson#41#dodge#43#206#68700
robby gordon#7#chevrolet#40#116#60560
michael waltrip#55#dodge#37#98#60435
brandon ash#102#dodge#39#98#60635
