player#rec#yards#avg#td 's#long
trandon harvey#91#1314#14.4#28#45
jeremiah pope#70#903#12.9#23#41
atnaf harris#35#500#14.3#8#41
kevin mckenzie#36#464#12.9#12#45
randy gatewood#35#416#11.9#10#34
curtis fagan#26#290#11.2#2#30
darrell jones#23#231#10#1#29
cosmo dematteo#13#171#13.2#3#35
bo kelly#4#50#12.5#0#21
asi faoa#3#30#10#0#14
wendall gaines#1#16#16#1#16
craig moore#3#16#5.3#0#6
justin taplin#2#13#6.5#0#7
william fields#1#8#8#0#8
zach rupp#2#5#2.5#0#6
albrey battle#1#4#4#1#4
vince amey#1#2#2#1#2
