driver#car#make#points#laps#winnings
jimmie johnson#48#chevrolet#185#188#326061
tony stewart#20#chevrolet#175#188#260136
brian vickers#25#chevrolet#170#188#172300
jeff burton#31#chevrolet#160#188#176745
jamie mcmurray#26#ford#160#188#168600
matt kenseth#17#ford#155#188#159841
kurt busch#2#dodge#151#188#143233
carl edwards#99#ford#147#188#118975
scott riggs#10#dodge#138#188#97975
robby gordon#7#chevrolet#139#188#103350
jj yeley#18#chevrolet#135#188#131075
dale jarrett#88#ford#132#188#125875
jeremy mayfield#19#dodge#129#188#124816
jeff green#66#chevrolet#126#188#117808
jeff gordon#24#chevrolet#128#188#151311
elliott sadler#38#ford#120#188#138983
tony raines#96#chevrolet#112#188#84675
kyle petty#45#dodge#109#188#111883
travis kvapil#32#chevrolet#106#188#101083
casey mears#42#dodge#108#188#123083
scott wimmer#4#chevrolet#105#188#85350
denny hamlin#11#chevrolet#102#187#84625
kevin harvick#29#chevrolet#94#187#121811
dave blaney#22#dodge#96#183#94858
michael waltrip#55#dodge#93#179#92447
reed sorenson#41#dodge#85#177#89825
joe nemechek#1#chevrolet#87#173#107620
kevin lepage#61#ford#84#173#80225
bobby labonte#43#dodge#76#163#114461
chad chaffin#34#chevrolet#73#152#77825
dale earnhardt jr#8#chevrolet#75#151#112166
kyle busch#5#chevrolet#67#150#95025
ryan newman#12#dodge#64#106#122308
david stremme#40#dodge#61#106#85725
mark martin#6#ford#58#101#94650
martin truex jr#1#chevrolet#55#97#84500
sterling marlin#14#chevrolet#52#91#76325
greg biffle#16#ford#49#45#96175
kasey kahne#9#dodge#46#17#112989
clint bowyer#7#chevrolet#43#16#83525
kirk shelmerdine#27#chevrolet#40#9#75325
ken schrader#21#ford#37#8#102364
hermie sadler#0#ford#pe#8#75308
