japanese name#kana#hanja / kanji#korean name#hangul
chūsei - hokudō#ちゅうせいほくどう#忠清北道#chungcheong - bukdo#충청북도
keishō - hokudō#けいしょうほくどう#慶尚北道#gyeongsang - bukdo#경상북도
chūsei - nandō#ちゅうせいなんどう#忠淸南道#chungcheong - namdo#충청남도
keishō - nandō#けいしょうなんどう#慶尚南道#gyeongsang - namdo#경상남도
heian - hokudō#へいあんほくどう#平安北道#pyeongan - bukdo#평안북도
kōgendō#こうげんどう#江原道#gangwondo#강원도
heian - nandō#へいあんなんどう#平安南道#pyeongan - namdo#평안남도
kōkaidō#こうかいどう#黃海道#hwanghaedo#황해도
kankyō - hokudo#かんきょうほくどう#咸鏡北道#hamgyeong - bukdo#함경북도
zenra - hokudō#ぜんらほくどう#全羅北道#jeolla - bukdo#전라북도
kankyō - nandō#かんきょうなんどう#咸鏡南道#hamgyeong - namdo#함경남도
zenra - nandō#ぜんらなんどう#全羅南道#jeolla - namdo#전라남도
keikidō#けいきどう#京畿道#gyeonggido#경기도
