driver#constructor#laps#time / retired#grid
michael schumacher#ferrari#73#1:40:29.914#2
rubens barrichello#ferrari#73#+ 2.950#1
takuma sato#bar - honda#73#+ 22.036#3
jarno trulli#renault#73#+ 34.544#20
olivier panis#toyota#73#+ 37.534#8
kimi räikkönen#mclaren - mercedes#72#+ 1 lap#7
david coulthard#mclaren - mercedes#72#+ 1 lap#12
zsolt baumgartner#minardi - cosworth#70#+ 3 laps#19
giancarlo fisichella#sauber - petronas#65#hydraulics#14
mark webber#jaguar - cosworth#60#engine#10
nick heidfeld#jordan - ford#40#engine#16
jenson button#bar - honda#26#gearbox#4
cristiano da matta#toyota#17#collision damage / gearbox#11
ralf schumacher#williams - bmw#9#tyre / accident#6
fernando alonso#renault#8#tyre#9
christian klien#jaguar - cosworth#0#collision#13
felipe massa#sauber - petronas#0#collision#15
giorgio pantano#jordan - ford#0#collision#17
gianmaria bruni#minardi - cosworth#0#collision#18
juan pablo montoya#williams - bmw#57#disqualified#5
