place#player#country#score#to par
1#payne stewart#united states#67 + 71 = 138#- 2
t2#woody austin#united states#67 + 72 = 139#- 1
t2#ernie els#south africa#72 + 67 = 139#- 1
t2#greg norman#australia#73 + 66 = 139#- 1
t5#ken green#united states#73 + 67 = 140#e
t5#steve jones#united states#74 + 66 = 140#e
t5#davis love iii#united states#71 + 69 = 140#e
t5#frank nobilo#new zealand#69 + 71 = 140#e
t5#sam torrance#scotland#71 + 69 = 140#e
t10#billy andrade#united states#72 + 69 = 141#+ 1
t10#david berganio , jr#united states#69 + 72 = 141#+ 1
t10#john cook#united states#70 + 71 = 141#+ 1
t10#john daly#united states#72 + 69 = 141#+ 1
t10#jim furyk#united states#72 + 69 = 141#+ 1
t10#neal lancaster#united states#74 + 67 = 141#+ 1
t10#masashi ozaki#japan#69 + 72 = 141#+ 1
t10#scott simpson#united states#70 + 71 = 141#+ 1
t10#tom watson#united states#70 + 71 = 141#+ 1
