number#chapter#installation date#location#status
1#alpha#october 5 , 1904#new york , new york#active
2#beta#march 10 , 1910#denver , colorado#active
3#gamma#november 4 , 1911#chicago , illinois#active
4#delta#february 8 , 1912#pittsburgh , pennsylvania#active
5#epsilon#april 16 , 1913#champaign , illinois#active
6#zeta#may 7 , 1914#lincoln , nebraska#active
7#eta#may 24 , 1914#cincinnati , ohio#active
8#theta#may 30 , 1914#corvallis , oregon#active
9#iota#march 6 , 1915#austin , texas#active
10#kappa#may 3 , 1915#eugene , oregon#active
11#lambda#june 1 , 1915#norman , oklahoma#closed
12#mu#june 6 , 1915#columbus , ohio#active
13#nu#april 29 , 1916#boston , massachusetts#active
14#xi#may 1 , 1916#boston , massachusetts#closed
15#omicron#april 21 , 1917#missoula , montana#closed
16#pi#november 27 , 1917#atlanta , georgia#active
17#rho#june 12 , 1919#seattle , washington#active
18#sigma#june 13 , 1919#colorado springs , colorado#closed
19#tau#april 10 , 1920#stillwater , oklahoma#active
20#upsilon#april 10 , 1920#columbia , missouri#active
21#phi#may 1 , 1920#ann arbor , michigan#active
22#chi#may 22 , 1920#new york , new york#active
23#psi#may 29 , 1920#lawrence , kansas#active
24#omega#january 22 , 1921#williamsburg , virginia#active
25#alpha beta#march 8 , 1921#berkeley , california#active
26#alpha gamma#june 3 , 1921#charlottesville , virginia#active
27#alpha delta#may 13 , 1922#lexington , virginia#closed
28#alpha epsilon#march 18 , 1922#athens , georgia#active
29#alpha zeta#may 3 , 1922#los angeles , california#active
30#alpha eta#may 20 , 1922#minneapolis , minnesota#active
31#alpha theta#november 18 , 1922#logan , utah#closed
32#alpha iota#november 17 , 1922#salt lake city , utah#closed
33#alpha kappa#may 11 , 1923#moscow , idaho#colony
34#alpha lambda#may 16 , 1923#st. louis , missouri#active
35#alpha mu#may 17 , 1923#madison , wisconsin#active
36#alpha nu#may 7 , 1923#tucson , arizona#active
37#alpha xi#may 25 , 1923#iowa city , iowa#active
38#alpha omicron#may 26 , 1923#syracuse , new york#active
39#alpha pi#november 12 , 1923#dallas , texas#active
40#alpha rho#april 1 , 1924#tuscaloosa , alabama#active
41#alpha sigma#may 19 , 1924#bethlehem , pennsylvania#closed
42#alpha tau#february 18 , 1925#chapel hill , north carolina#active
43#alpha upsilon#january 5 , 1926#los angeles , california#active
44#alpha phi#january 22 , 1926#gainesville , florida#active
45#alpha chi#january 25 , 1926#atlanta , georgia#active
46#alpha psi#march 11 , 1926#milwaukee , wisconsin#closed
47#alpha omega#may 10 , 1926#manhattan , kansas#active
48#beta gamma#april 5 , 1927#bloomington , indiana#active
49#beta delta#january 14 , 1928#provo , utah#closed
50#beta epsilon#june 3 , 1928#chicago , illinois#active
51#beta zeta#november 10 , 1928#fayetteville , arkansas#active
52#beta eta#december 7 , 1929#durham , north carolina#active
53#beta theta#may 20 , 1930#detroit , michigan#closed
54#beta iota#april 11 , 1931#buffalo , new york#active
55#beta kappa#april 18 , 1931#london , ontario , canada#closed
56#beta lambda#november 19 , 1932#pullman , washington#active
57#beta mu#may 6 , 1933#washington , district of columbia#active
58#beta nu#may 16 , 1936#laramie , wyoming#active
59#beta xi#february 18 , 1939#blacksburg , virginia#active
60#beta omicron#may 18 , 1941#detroit , michigan#closed
61#beta pi#may 9 , 1941#coral gables , florida#active
62#beta rho#april 4 , 1943#morgantown , west virginia#active
63#beta sigma#january 29 , 1947#jamaica , new york#active
64#beta tau#may 1 , 1948#albuquerque , new mexico#closed
65#beta upsilon#september 25 , 1948#columbia , south carolina#active
66#beta phi#may 1 , 1949#des moines , iowa#active
67#beta chi#may 1 , 1949#baton rouge , louisiana#active
68#beta psi#may 28 , 1949#tallahassee , florida#active
69#beta omega#december 10 , 1949#birmingham , alabama#active
70#gamma delta#may 13 , 1950#winston - salem , north carolina#active
71#gamma epsilon#may 13 , 1950#university park , pennsylvania#active
72#gamma zeta#december 3 , 1950#boulder , colorado#active
73#gamma eta#january 13 , 1951#toledo , ohio#active
74#gamma theta#april 15 , 1951#peoria , illinois#closed
75#gamma iota#march 16 , 1952#chicago , illinois#active
76#gamma kappa#sept 28 , 1952#portland , oregon#active
77#gamma lambda#november 1 , 1952#fresno , california#active
78#gamma mu#december 6 , 1952#east lansing , michigan#active
79#gamma nu#june 7 , 1953#wellesley park , massachusetts#closed
80#gamma xi#october 18 , 1953#portland , oregon#closed
81#gamma omicron#november 15 , 1953#northfield , vermont#closed
82#gamma pi#january 17 , 1954#south orange , new jersey#active
83#gamma rho#march 6 , 1954#kansas city , missouri#closed
84#gamma sigma#april 20 , 1954#denver , colorado#closed
85#gamma tau#may 23 , 1954#kalamazoo , michigan#active
86#gamma upsilon#january 24 , 1954#wichita , kansas#active
87#gamma phi#october 31 , 1954#tulsa , oklahoma#closed
88#gamma chi#february 13 , 1955#oxford , ohio#active
89#gamma psi#may 1 , 1955#lewiston , new york#closed
90#gamma omega#april 16 , 1955#seattle , washington#active
91#delta epsilon#may 22 , 1955#los angeles , california#closed
92#delta zeta#may 15 , 1955#richmond , virginia#active
93#delta eta#may 22 , 1955#boston , massachusetts#closed
94#delta theta#june 5 , 1955#waukesha , wisconsin#closed
95#delta iota#february 19 , 1956#waynesburg , pennsylvania#closed
96#delta kappa#february 12 , 1956#nashville , tennessee#active
97#delta lambda#may 5 , 1956#starkville , mississippi#closed
98#delta mu#may 20 , 1956#university heights , ohio#active
99#delta nu#may 5 , 1956#dayton , ohio#active
100#delta xi#may 13 , 1956#st. paul , minnesota#closed
101#delta omicron#june 10 , 1956#long beach , california#active
102#delta pi#february 3 , 1957#omaha , nebraska#active
103#delta rho#march 10 , 1957#st. paul , minnesota#closed
104#delta sigma#april 7 , 1957#st. louis , missouri#active
105#delta tau#june 15 , 1957#buffalo , new york#active
106#delta upsilon#may 19 , 1957#pocatello , idaho#active
107#delta phi#december 8 , 1957#milwaukee , wisconsin#active
108#delta chi#february 8 , 1958#potsdam , new york#active
109#delta psi#april 13 , 1958#bloomington , illinois#active
110#delta omega#may 11 , 1958#ames , iowa#active
111#epsilon zeta#july 13 , 1958#detroit , michigan#closed
112#epsilon eta#october 16 , 1958#waco , texas#active
113#epsilon theta#january 31 , 1959#birmingham , alabama#closed
114#epsilon iota#march 15 , 1959#canyon , texas#closed
115#epsilon kappa#april 18 , 1959#carbondale , illinois#active
116#epsilon lambda#april 26 , 1959#norfolk , virginia#closed
117#epsilon mu#may 17 , 1959#pittsburg , kansas#closed
118#epsilon nu#may 24 , 1959#tacoma , washington#closed
119#epsilon xi#may 27 , 1959#st. peter , minnesota#closed
120#epsilon omicron#april 24 , 1960#jonesboro , arkansas#closed
121#epsilon pi#may 21 , 1960#fairbanks , alaska#closed
122#epsilon rho#march 18 , 1961#philadelphia , pennsylvania#active
123#epsilon sigma#february 9 , 1962#atlanta , georgia#active
124#epsilon tau#february 15 , 1962#jacksonville , florida#active
125#epsilon upsilon#february 13 , 1962#jefferson city , tennessee#closed
126#epsilon phi#june 6 , 1962#little rock , arkansas#closed
127#epsilon chi#february 24 , 1963#east orange , new jersey#closed
128#epsilon psi#march 3 , 1963#new york , new york#closed
129#epsilon omega#may 12 , 1963#portland , oregon#active
130#zeta eta#may 12 , 1963#tacoma , washington#closed
131#zeta theta#may 23 , 1963#winona , minnesota#closed
132#zeta iota#may 9 , 1964#brooklyn , new york#closed
133#zeta kappa#may 2 , 1964#ypsilanti , michigan#closed
134#zeta lambda#may 10 , 1964#knoxville , tennessee#active
135#zeta mu#june 7 , 1964#bloomfield , new jersey#closed
136#zeta nu#may 24 , 1964#loretto , pennsylvania#closed
137#zeta xi#october 25 , 1964#mt. pleasant , michigan#active
138#zeta omicron#march 20 , 1965#cape girardeau , missouri#active
139#zeta pi#march 21 , 1965#hays , kansas#active
140#zeta rho#may 16 , 1965#huntington , west virginia#active
141#zeta sigma#may 23 , 1965#decatur , illinois#closed
142#zeta tau#may 30 , 1965#bowling green , kentucky#active
143#zeta upsilon#may 23 , 1965#cookeville , tennessee#active
144#zeta phi#may 22 , 1965#clarksville , tennessee#active
145#zeta chi#may 29 , 1965#martin , tennessee#active
146#zeta psi#may 28 , 1965#murfreesboro , tennessee#active
147#zeta omega#june 14 , 1965#jamaica , new york#closed
148#eta theta#may 21 , 1966#lubbock , texas#active
149#eta iota#february 20 , 1966#murray , kentucky#active
150#eta kappa#february 19 , 1966#abilene , texas#closed
151#eta lambda#april 30 , 1966#las vegas , nevada#active
152#eta mu#may 1 , 1966#nacogdoches , texas#closed
153#eta nu#april 24 , 1966#dearborn , michigan#closed
154#eta xi#may 22 , 1966#youngstown , ohio#closed
155#eta omicron#november 5 , 1966#greenville , north carolina#active
156#eta pi#october 20 , 1966#adrian , michigan#active
157#eta rho#november 13 , 1966#chicago , illinois#active
158#eta sigma#november 4 , 1966#new york , new york#closed
159#eta tau#february 12 , 1967#ruston , louisiana#active
160#eta upsilon#may 6 , 1967#montevallo , alabama#closed
161#eta phi#may 21 , 1967#cheney , washington#active
162#eta chi#december 9 , 1967#marquette , michigan#closed
163#eta psi#january 13 , 1968#philadelphia , pennsylvania#active
164#eta omega#february 11 , 1968#charlotte , north carolina#active
165#theta iota#march 23 , 1968#erie , pennsylvania#active
166#theta kappa#april 17 , 1968#houghton , michigan#active
167#theta lambda#may 25 , 1968#springfield , massachusetts#closed
168#theta mu#may 19 , 1968#deland , florida#active
169#theta nu#january 25 , 1969#mobile , alabama#active
170#theta xi#april 13 , 1969#angola , indiana#closed
171#theta omicron#march 30 , 1969#boise , idaho#active
172#theta pi#may 3 , 1969#cullman , alabama#closed
173#theta rho#may 10 , 1969#edinburg , texas#closed
174#theta sigma#april 19 , 1969#san marcos , texas#active
175#theta tau#november 23 , 1969#cullowhee , north carolina#active
176#theta upsilon#april 4 , 1970#pittsburgh , pennsylvania#closed
177#theta phi#may 3 , 1970#evansville , indiana#active
178#theta chi#may 16 , 1970#carrollton , georgia#active
179#theta psi#december 5 , 1970#memphis , tennessee#active
180#theta omega#december 5 , 1970#misenheimer , north carolina#closed
181#iota kappa#february 14 , 1971#springfield , massachusetts#closed
182#iota lambda#april 3 , 1971#atchison , kansas#closed
183#iota mu#july 24 , 1971#stockton , california#closed
184#iota nu#december 19 , 1971#west liberty , west virginia#closed
185#iota xi#may 6 , 1972#tempe , arizona#active
186#iota omicron#june 30 , 1972#san bernardino , california#active
187#iota pi#may 27 , 1972#newport news , virginia#active
188#iota rho#november 18 , 1973#montclair , new jersey#active
189#iota sigma#december 11 , 1976#huntsville , texas#active
190#iota tau#february 11 , 1978#san diego , california#active
191#iota upsilon#april 29 , 1978#slippery rock , pennsylvania#active
192#iota phi#april 30 , 1978#rock hill , south carolina#active
193#iota chi#may 6 , 1978#arkadelphia , arkansas#closed
194#iota psi#may 7 , 1978#florence , south carolina#closed
195#iota omega#may 13 , 1978#flagstaff , arizona#active
196#kappa lambda#october , 15 , 1978#midland , michigan#active
197#kappa mu#april 21 , 1979#union , new jersey#closed
198#kappa nu#april 28 , 1979#greenwood , south carolina#closed
199#kappa xi#may 12 , 1979#ellensburg , washington#active
200#kappa omicron#may 19 , 1979#bellevue , nebraska#closed
201#kappa pi#august 4 , 1979#san antonio , texas#closed
202#kappa rho#february 2 , 1980#brownsville , texas#closed
203#kappa sigma#april 19 , 1980#indiana , pennsylvania#closed
204#kappa tau#april 26 , 1980#beaumont , texas#active
205#kappa upsilon#april 23 , 1980#orangeburg , south carolina#active
206#kappa phi#june 28 , 1980#montgomery , alabama#active
207#kappa chi#april 25 , 1981#boone , north carolina#closed
208#kappa psi#may 30 , 1981#seattle , washington#closed
209#kappa omega#april 3 , 1982#aiken , south carolina#closed
210#lambda mu#may 1 , 1982#seguin , texas#active
211#lambda nu#sep 25 , 1982#washington , district of columbia#active
212#lambda xi#october 22 , 1982#portland , oregon#closed
213#lambda omicron#march 19 , 1983#raleigh , north carolina#active
214#lambda pi#april 8 , 1983#georgetown , texas#active
215#lambda rho#april 23 , 1983#springfield , missouri#active
216#lambda sigma#april 28 , 1983#conway , arkansas#colony
217#lambda tau#october 8 , 1983#enid , oklahoma#closed
218#lambda upsilon#march 24 , 1984#indianapolis , indiana#active
219#lambda phi#april 7 , 1984#weatherford , oklahoma#closed
220#lambda chi#april 28 , 1984#college station , texas#closed
221#lambda psi#may 26 , 1984#atherton , california#closed
222#lambda omega#march 23 , 1985#alamosa , colorado#closed
223#mu nu#may 4 , 1985#rochester , michigan#active
224#mu xi#april 20 , 1985#petersburg , virginia#closed
225#mu omicron#april 27 , 1985#terre haute , indiana#active
226#mu pi#may 4 , 1985#elon , north carolina#active
227#mu rho#december 8 , 1985#dallas , texas#active
228#mu sigma#may 10 , 1986#san diego , california#active
229#mu tau#december 6 , 1986#st. louis , missouri#closed
230#mu upsilon#april 25 , 1987#bakersfield , california#active
231#mu phi#april 25 , 1987#northridge , california#active
232#mu chi#may 26 , 1987#orangeburg , new york#closed
233#mu psi#january 28 , 1989#hempstead , new york#active
234#mu omega#may 6 , 1989#auburn , alabama#active
235#nu xi#may 14 , 1989#san diego , california#active
236#nu omicron#november 18 , 1989#houston , texas#active
237#nu pi#january 27 , 1990#san antonio , texas#active
238#nu rho#april 22 , 1990#fort collins , colorado#active
239#nu sigma#december 8 , 1990#grand rapids , michigan#closed
240#nu tau#january 26 , 1991#salem , virginia#active
241#nu upsilon#february 9 , 1991#poughkeepsie , new york#active
242#nu phi#march 17 , 1991#johnstown , pennsylvania#active
243#nu chi#april 20 , 1991#orlando , florida#active
244#nu psi#november 9 , 1991#harrisonburg , virginia#active
245#nu omega#january 25 , 1992#macon , georgia#active
246#xi omicron#march 28 , 1992#san antonio , texas#active
247#xi pi#april 25 , 1992#lock haven , pennsylvania#active
248#xi rho#may 2 , 1992#athens , ohio#active
249#xi sigma#june 27 , 1992#miami , florida#active
250#xi tau#april 8 , 1995#shippensburg , pennsylvania#active
251#xi upsilon#may 6 , 1995#hackettstown , new jersey#closed
252#xi phi#may 6 , 1995#greeley , colorado#active
253#xi chi#may 4 , 1996#la verne , california#closed
254#xi psi#april 6 , 1997#normal , illinois#active
255#xi omega#april 5 , 1997#tampa , florida#active
256#omicron pi#april 13 , 1997#azusa , california#closed
257#omicron rho#may 10 , 1997#teaneck , new jersey#active
258#omicron sigma#november 15 , 1997#radford , virginia#active
259#omicron tau#may 25 , 1998#new brunswick , new jersey#active
260#omicron upsilon#november 8 , 1998#ithaca , new york#active
261#omicron phi#november 21 , 1998#louisville , kentucky#active
262#omicron chi#december 5 , 1998#cleveland , ohio#active
263#omicron psi#december 6 , 1998#lexington , kentucky#active
264#omicron omega#february 6 , 1999#santa barbara , california#active
265#pi rho#february 4 , 1999#san luis obispo , california#active
266#pi sigma#april 24 , 1999#fairfax , virginia#active
267#pi tau#april 25 , 1999#stanford , california#active
268#pi upsilon#may 8 , 1999#san marcos , california#active
269#pi phi#november 11 , 1999#state college , pennsylvania#closed
270#pi chi#november 5 , 1999#new orleans , louisiana#active
271#pi psi#december 11 , 1999#irvine , california#closed
272#pi omega#february 5 , 2000#west lafayette , indiana#active
273#rho sigma#november 12 , 2000#charleston , south carolina#active
274#rho tau#october 29 , 2000#oxford , mississippi#active
275#rho upsilon#november 18 , 2000#st. joseph , missouri#active
276#rho phi#january 6 , 2001#riverside , california#active
277#rho chi#april 21 , 2001#orange , california#active
278#rho psi#april 21 , 2001#baltimore , maryland#active
279#rho omega#april 22 , 2001#buies creek , north carolina#closed
280#sigma tau#april 28 , 2001#new york , new york#closed
281#sigma upsilon#may 5 , 2001#manchester , england , united kingdom#merged
282#sigma upsilon phi#may 5 , 2001#manchester , england , united kingdom#active
283#sigma chi#may 5 , 2001#manchester , england , united kingdom#merged
284#sigma psi#may 12 , 2001#new orleans , louisiana#active
285#sigma omega#march 23 , 2002#boca raton , florida#active
286#tau upsilon#march 23 , 2002#kirksville , missouri#active
287#tau phi#april 13 , 2002#hamden , connecticut#closed
288#tau chi#april 13 , 2002#chicago , illinois#active
289#tau psi#april 20 , 2002#houston , texas#active
290#tau omega#april 20 , 2002#hattiesburg , mississippi#active
291#upsilon phi#april 20 , 2002#bozeman , montana#closed
292#upsilon chi#november 9 , 2002#muncie , indiana#active
293#upsilon psi#november 24 , 2002#davis , california#active
294#upsilon omega#december 8 , 2002#phoenix , arizona#active
295#phi chi#january 25 , 2003#montreal , quebec , canada#closed
296#phi psi#march 8 , 2003#fargo , north dakota#closed
297#phi omega#april 27 , 2003#spokane , washington#active
298#chi psi#november 16 , 2003#nashville , tennessee#active
299#chi omega#november 23 , 2003#denton , texas#active
300#psi omega#january 8 , 2005#santa clara , california#active
301#omega psi#january 15 , 2005#pittsburgh , pennsylvania#active
302#omega chi#march 12 , 2005#calgary , alberta , canada#active
303#omega phi#march 23 , 2005#san jose , california#active
304#omega upsilon#april 9 , 2005#clemson , south carolina#active
305#omega tau#april 30 , 2005#birmingham , alabama#active
306#omega sigma#may 7 , 2005#whitewater , wisconsin#closed
307#omega rho#may 22 , 2005#fort lauderdale , florida#active
308#omega pi#november 19 , 2005#orono , maine#active
309#omega omicron#december 3 , 2005#richmond , kentucky#active
310#omega xi#january 14 , 2006#tallahassee , florida#active
311#omega nu#february 18 , 2006#nashville , tennessee#active
312#omega mu#april 23 , 2006#chattanooga , tennessee#active
313#omega lambda#april 30 , 2006#washington , district of columbia#active
314#omega kappa#may 6 , 2006#towson , maryland#active
315#omega iota#may 7 , 2006#dover , delaware#closed
