team#location#venue#capacity#position in 2001
belshina#bobruisk#spartak , bobruisk#3550#1
dinamo minsk#minsk#dinamo , minsk#41040#2
bate#borisov#city stadium , borisov#5500#3
neman#grodno#neman#6300#4
shakhtyor#soligorsk#stroitel#5000#5
gomel#gomel#central , gomel#11800#6
slavia#mozyr#yunost#5500#7
torpedo - maz#minsk#torpedo , minsk#5200#8
dnepr - transmash#mogilev#spartak , mogilev#11200#9
molodechno - 2000#molodechno#city stadium , molodechno#5500#10
dinamo brest#brest#osk brestskiy#10080#11
lokomotiv - 96#vitebsk#central , vitebsk#8300#12
torpedo#zhodino#torpedo , zhodino#3020#first league , 1
zvezda - va - bgu#minsk#traktor#17600#first league , 2
