place#player#country#score#to par#money
1#vijay singh#fiji#70 + 66 + 67 + 68 = 271#9#540000
2#steve stricker#united states#69 + 68 + 66 + 70 = 273#7#324000
3#steve elkington#australia#69 + 69 + 69 + 67 = 274#6#204000
t4#frank lickliter#united states#68 + 71 + 69 + 68 = 276#4#118000
t4#mark o'meara#united states#69 + 70 + 69 + 68 = 276#4#118000
t4#nick price#zimbabwe#70 + 73 + 68 + 65 = 276#4#118000
t7#davis love iii#united states#70 + 68 + 69 + 70 = 277#3#89500
t7#billy mayfair#united states#73 + 67 + 67 + 70 = 277#3#89500
9#john cook#united states#71 + 68 + 70 + 69 = 278#2#80000
t10#skip kendall#united states#72 + 68 + 68 + 71 = 279#1#69000
t10#kenny perry#united states#69 + 72 + 70 + 68 = 279#1#69000
t10#tiger woods#united states#66 + 72 + 70 + 71 = 279#1#69000
