airline#icao#iata#callsign#commenced operations#fleet size#headquarters
airasia zest#ezd#z2#zest#1995#11#pasay city
cebu pacific#ceb#5j#cebu#1996#47#pasay city
fil - asian airways#mse#mx#faa#2008#1#lapu - lapu city
pal express#gap#2p#airphil#1996#21#pasay city
philippine airlines#pal#pr#philippine#1941#51#pasay city
philippines airasia#aau#pq#cool red#2012#3#angeles city
sky pasada#wcc#sp#pasada#2010#2#pasay city
spirit of manila airlines#mnp#sm#manila sky#2010#3#pasay city
tigerair philippines#srq#dg#seair#1995#17#makati city
seair international#sgd#xo#air blue#2011#4#clark
