tie no#home team#score#away team#date
1#enfield#2 - 3#crystal palace#2 january 1982
2#bournemouth#0 - 2#oxford united#2 january 1982
3#barnet#0 - 0#brighton & hove albion#2 january 1982
replay#brighton & hove albion#3 - 1#barnet#5 january 1982
4#burnley#6 - 1#altrincham#18 january 1982
5#watford#1 - 0#manchester united#2 january 1982
6#gillingham#2 - 1#oldham athletic#5 january 1982
7#leicester city#3 - 1#southampton#2 january 1982
8#notts county#0 - 6#aston villa#5 january 1982
9#nottingham forest#1 - 3#wrexham#2 january 1982
10#bolton wanderers#3 - 1#derby county#2 january 1982
11#wolverhampton wanderers#1 - 3#leeds united#2 january 1982
12#west bromwich albion#3 - 2#blackburn rovers#2 january 1982
13#luton town#2 - 1#swindon town#2 january 1982
14#shrewsbury town#1 - 0#port vale#5 january 1982
15#doncaster rovers#2 - 1#cambridge united#2 january 1982
16#newcastle united#1 - 1#colchester united#4 january 1982
replay#colchester united#3 - 4#newcastle united#18 january 1982
17#tottenham hotspur#1 - 0#arsenal#2 january 1982
18#manchester city#3 - 1#cardiff city#2 january 1982
19#queens park rangers#1 - 1#middlesbrough#2 january 1982
replay#middlesbrough#2 - 3#queens park rangers#18 january 1982
20#barnsley#0 - 2#blackpool#5 january 1982
21#coventry city#3 - 1#sheffield wednesday#2 january 1982
22#west ham united#2 - 1#everton#2 january 1982
23#millwall#1 - 6#grimsby town#5 january 1982
24#carlisle united#2 - 3#huddersfield town#23 january 1982
25#chelsea#0 - 0#hull city#18 january 1982
replay#hull city#0 - 2#chelsea#21 january 1982
26#scunthorpe united#1 - 1#hereford united#6 january 1982
replay#hereford united#4 - 1#scunthorpe united#20 january 1982
27#stoke city#0 - 1#norwich city#2 january 1982
28#rotherham united#1 - 1#sunderland#2 january 1982
replay#sunderland#1 - 0#rotherham united#18 january 1982
29#peterborough united#0 - 1#bristol city#6 january 1982
30#birmingham city#2 - 3#ipswich town#2 january 1982
31#orient#1 - 0#charlton athletic#2 january 1982
32#swansea city#0 - 4#liverpool#2 january 1982
