year#points#rebounds#assists#steals#blocks
1995#albert white (13)#kevin garnett (10)#stephon marbury (5)#3 tied (2)#kevin garnett (9)
1996#jermaine o'neal (21)#jermaine o'neal (10)#ed cota (4)#winfred walton (3)#jermaine o'neal (7)
1997#larry hughes (20)#ron artest (9)#baron davis (5)#ron artest (5)#shane battier (2)
1998#al harrington (26)#al harrington (9)#ronald curry (4)#2 tied (4)#2 tied (2)
1999#casey jacobsen (31)#travis watson (9)#jay williams (7)#3 tied (2)#jason parker (2)
2000#zach randolph (24)#2 tied (8)#chris duhon (6)#darius miles (3)#darius miles (2)
2004#josh smith (27)#al jefferson (7)#sebastian telfair (7)#3 tied (3)#josh smith (2)
2005#tyler hansbrough (31)#tyler hansbrough (10)#greg paulus (10)#monta ellis (4)#tyler hansbrough (3)
2006#wayne ellington (31)#2 tied (7)#2 tied (6)#wayne ellington (3)#gerald henderson (3)
2007#oj mayo (20)#michael beasley (9)#jonny flynn (10)#derrick rose (4)#2 tied (2)
2008#demar derozan (17)#tyreke evans (8)#jrue holiday (5)#4 tied (3)#drew gordon (4)
2009#xavier henry (22)#john henson (9)#john wall (11)#john wall (5)#2 tied (2)
2010#harrison barnes (27)#jared sullinger (8)#2 tied (5)#3 tied (2)#terrence jones (3)
2011#austin rivers (20)#anthony davis (10)#tony wroten (5)#tony wroten (2)#michael kidd - gilchrist (5)
2012#shabazz muhammad (35)#kyle anderson (10)#kyle anderson (4)#nerlens noel (4)#nerlens noel (4)
